The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", m_methodname "general method", ls_singlevalue "single value [mm^2]", ls_n "sample size", ls_valid "valid", ref_refname "reference", ls_mean "mean LS [mm^2]", ls_maximum "maximum LS [mm^2]", ls_minimum "minimum LS [mm^2]", ls_median "median LS [mm^2]", ls_replicates "number of replicates", ls_stddev "standard deviation", ls_stderror "standard error", ls_collectiondate "collection date", ls_comment "general comment", lflv_name "leaf state", or_origrefname "original reference" FROM (SELECT case when ls_median is not null then ls_median when ls_mean is not null then ls_mean when ls_minimum is not null and ls_maximum is not null then (ls_minimum + ls_maximum) / 2 when ls_minimum is not null then ls_minimum when ls_maximum is not null then ls_maximum else null end AS ls_singlevalue, sbs_sbsnumber, sbs_sbsname, m_methodname, ls_median, ls_mean, ls_minimum, ls_maximum, ls_n, ls_valid, ref_refname, ls_replicates, ls_stddev, ls_stderror, ls_collectiondate, ls_comment, lflv_name, or_origrefname, ls_sbsnumber FROM (SELECT sbs.sbs_sbsnumber, sbs.sbs_sbsname, m_ls.m_methodname, m_ls.ls_median, m_ls.ls_mean, m_ls.ls_minimum, m_ls.ls_maximum, m_ls.ls_n, m_ls.ls_valid, m_ls.ref_refname, m_ls.ls_replicates, m_ls.ls_stddev, m_ls.ls_stderror, m_ls.ls_collectiondate, m_ls.ls_comment, m_ls.lflv_name, m_ls.or_origrefname, m_ls.ls_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_ls.ls_sbsnumber, m.m_methodname, r_ls.ls_median, r_ls.ls_mean, r_ls.ls_minimum, r_ls.ls_maximum, r_ls.ls_n, r_ls.ls_valid, r_ls.ref_refname, r_ls.ls_replicates, r_ls.ls_stddev, r_ls.ls_stderror, r_ls.ls_collectiondate, r_ls.ls_comment, r_ls.lflv_name, r_ls.or_origrefname FROM (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m JOIN (SELECT ls_lflv.ls_sbsnumber, ls_lflv.ls_methodid, ls_lflv.ls_median, ls_lflv.ls_mean, ls_lflv.ls_minimum, ls_lflv.ls_maximum, ls_lflv.ls_n, ls_lflv.ls_valid, r.ref_refname, ls_lflv.ls_replicates, ls_lflv.ls_stddev, ls_lflv.ls_stderror, ls_lflv.ls_collectiondate, ls_lflv.ls_comment, ls_lflv.lflv_name, ls_lflv.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT ls_orf.ls_sbsnumber, ls_orf.ls_methodid, ls_orf.ls_median, ls_orf.ls_mean, ls_orf.ls_minimum, ls_orf.ls_maximum, ls_orf.ls_n, ls_orf.ls_valid, ls_orf.ls_referenceid, ls_orf.ls_replicates, ls_orf.ls_stddev, ls_orf.ls_stderror, ls_orf.ls_collectiondate, ls_orf.ls_comment, lflv.lflv_name, ls_orf.or_origrefname FROM (SELECT ls.ls_sbsnumber, ls.ls_methodid, ls.ls_median, ls.ls_mean, ls.ls_minimum, ls.ls_maximum, ls.ls_n, ls.ls_valid, ls.ls_referenceid, ls.ls_replicates, ls.ls_stddev, ls.ls_stderror, ls.ls_collectiondate, ls.ls_comment, ls.ls_leafformid, orf.or_origrefname FROM (SELECT sbsnumber AS ls_sbsnumber, methodid AS ls_methodid, median AS ls_median, mean AS ls_mean, minimum AS ls_minimum, maximum AS ls_maximum, n AS ls_n, valid AS ls_valid, referenceid AS ls_referenceid, replicates AS ls_replicates, stddeviation AS ls_stddev, stderror AS ls_stderror, collectiondate AS ls_collectiondate, p_comment AS ls_comment, leafformid AS ls_leafformid, origreferenceid AS ls_origreferenceid FROM (SELECT sbsnumber, taxonid, mean, median, minimum, maximum, stderror, stddeviation, n, replicates, created_when, updated_when, collectiondate, p_comment, methodid, referenceid, origreferenceid, habitattypeid, georefid, valid, validsince, validuntil, ledaid, batchid, leafformid, leafsizeid FROM leafsize natural join taxontosbsassignment WHERE valid IN (-2, 1))) ls FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON ls.ls_origreferenceid = orf.or_origrefid) ls_orf FULL JOIN (SELECT leafformid AS lflv_id, leafformname AS lflv_name FROM (select leafformid, leafformname from leafform_lv)) lflv ON ls_orf.ls_leafformid = lflv.lflv_id) ls_lflv ON r.ref_referenceid = ls_lflv.ls_referenceid) r_ls ON m.m_methodid = r_ls.ls_methodid) m_ls ON sbs.sbs_sbsnumber = m_ls.ls_sbsnumber)) ORDER BY sbs_sbsname
on Tue Apr 29 10:38:50 CEST 2008 .

SBS name;SBS number;general method;single value [mm^2];sample size;valid;reference;mean LS [mm^2];maximum LS [mm^2];minimum LS [mm^2];median LS [mm^2];number of replicates;standard deviation;standard error;collection date;general comment;leaf state;original reference
Cardamine pratensis;14249;actual measurement;585;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;585;;;2;;;1996-06-17 00:00:00.0;;without petiole and rachis;
Cardamine pratensis;14249;actual measurement;1469;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;1469;;;2;;;1996-08-14 00:00:00.0;;without petiole and rachis;
Cardaminopsis arenosa;14130;actual measurement (following LEDA data standards);201.13;4;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;194.38;269;106.25;201.13;1;;;2003-06-26 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Cardaminopsis arenosa;14130;actual measurement (following LEDA data standards);180.8;6;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;181.43;245;100;180.8;1;;;2003-06-26 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Cardaminopsis arenosa;14130;actual measurement (following LEDA data standards);58;7;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;57.86;87.5;25;58;2;;;2004-04-23 00:00:00.0;Preaggregated value obtained from single record. determinated as Cardaminopsis arenosa ssp. borbasii;with petiole and rachis;
Cardaminopsis halleri;14132;actual measurement (following LEDA data standards);278.25;12;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;284.67;451.5;120;278.25;2;;;2004-08-24 00:00:00.0;Preaggregated value obtained from single record. ;without petiole and rachis;
Cardaminopsis halleri;14132;actual measurement (following LEDA data standards);293.51;12;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;302.13;480;129.42;293.51;2;;;2004-08-24 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Cardaminopsis petraea;13735;actual measurement (following LEDA data standards);48;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;50;73;24.5;48;2;;;2004-08-13 00:00:00.0;Preaggregated value obtained from single record. rosette leaves;with petiole and rachis;
Cardaria draba;13313;actual measurement;1016;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;1016;;;2;;;1996-08-08 00:00:00.0;;without petiole and rachis;
Cardaria draba;13313;actual measurement;1120;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;1120;;;2;;;1996-06-25 00:00:00.0;;without petiole and rachis;
Cardaria draba;13313;actual measurement;1503;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;1503;;;2;;;1996-05-30 00:00:00.0;;without petiole and rachis;
Carduus acanthoides;3326;actual measurement;9907;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;9907;;;1;;;1997-09-29 00:00:00.0;;without petiole and rachis;
Carduus acanthoides;3326;actual measurement (following LEDA data standards);2622.5;7;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;3503.79;6075;2324.5;2622.5;2;;;2004-05-12 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Carduus crispus;2731;actual measurement;5082;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;5082;;;2;;;1996-06-18 00:00:00.0;;without petiole and rachis;
Carduus defloratus;3164;actual measurement (following LEDA data standards);3453;7;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;3390.71;4878;1673.5;3453;2;;;2004-07-12 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Carduus nutans;3493;actual measurement;4089;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;4089;;;2;;;1996-08-08 00:00:00.0;;without petiole and rachis;
Carduus nutans;3493;actual measurement;4492;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;4492;;;2;;;1996-09-09 00:00:00.0;;without petiole and rachis;
Carduus nutans;3493;actual measurement;5216;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;5216;;;2;;;1996-09-02 00:00:00.0;;without petiole and rachis;
Carex acuta;38000;actual measurement (following LEDA data standards);2455.25;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Krüger), Correspondig address: michael.kleyer@uni-oldenburg.de;2579.85;3383;2193.5;2455.25;2;;;;Preaggregated value obtained from single record. ;without petiole and rachis;
Carex acutiformis;37460;actual measurement;7035;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;7035;;;2;;;1996-08-16 00:00:00.0;;without petiole and rachis;
Carex alba;37462;actual measurement (following LEDA data standards);113.81;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;128.06;194;58;113.81;2;;;2004-05-14 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Carex appropinquata;37464;actual measurement (following LEDA data standards);539.75;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;640;1219;415;539.75;2;;;2005-06-08 00:00:00.0;preaggregated value obtained from single record;with petiole and rachis;
Carex appropinquata;37464;actual measurement (following LEDA data standards);539;6;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;516.83;610;369;539;2;;;2004-07-07 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Carex aquatilis;38015;actual measurement (following LEDA data standards);2308.25;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;2374.75;3495;1259;2308.25;2;;;2004-06-09 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Carex arenaria;38017;actual measurement;361;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;361;;;2;;;1996-06-18 00:00:00.0;;without petiole and rachis;
Carex arenaria;38017;actual measurement;711;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;711;;;2;;;1996-08-24 00:00:00.0;;without petiole and rachis;
Carex arenaria;38017;actual measurement;944;20;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kühner), Corresponding address: michael.kleyer@uni-oldenburg.de;954.05;1285;735;944;1;;;;Preaggregated value obtained from single record. leaves scanned with hand scanner, single leaves measured, not linked to individual plants;with petiole and rachis;
Carex atrata;37469;actual measurement (following LEDA data standards);504.5;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;504.5;504.5;504.5;504.5;2;;;2003-08-31 00:00:00.0;preaggregated value obtained from single record;without petiole and rachis;
Carex atrata;37469;actual measurement (following LEDA data standards);538.85;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;538.85;538.85;538.85;538.85;2;;;2003-08-31 00:00:00.0;preaggregated value obtained from single record;without petiole and rachis;
Carex atrata;37469;actual measurement (following LEDA data standards);383.95;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;383.95;383.95;383.95;383.95;2;;;2003-08-31 00:00:00.0;preaggregated value obtained from single record;without petiole and rachis;
Carex atrofusca;37347;actual measurement (following LEDA data standards);116.24;10;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Aarnes), corresponding adress: graciela.rusch@nina.no;116.4;187.83;48.63;116.24;1;;;2005-07-22 00:00:00.0;preaggregated value obtained from single record;with petiole and rachis;
Carex bigelowii;37350;actual measurement (following LEDA data standards);513.83;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;513.83;513.83;513.83;513.83;2;;;2003-08-15 00:00:00.0;preaggregated value obtained from single record;without petiole and rachis;
Carex bigelowii;37350;actual measurement (following LEDA data standards);538.53;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;538.53;538.53;538.53;538.53;2;;;2003-08-15 00:00:00.0;preaggregated value obtained from single record;without petiole and rachis;
Carex bigelowii;37350;actual measurement (following LEDA data standards);497.19;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;497.19;497.19;497.19;497.19;2;;;2003-09-04 00:00:00.0;preaggregated value obtained from single record;without petiole and rachis;
Carex bigelowii;37350;actual measurement (following LEDA data standards);323.36;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;323.36;323.36;323.36;323.36;2;;;2003-08-21 00:00:00.0;preaggregated value obtained from single record;without petiole and rachis;
Carex bigelowii;37350;actual measurement (following LEDA data standards);491.16;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;491.16;491.16;491.16;491.16;2;;;2003-09-04 00:00:00.0;preaggregated value obtained from single record;without petiole and rachis;
Carex bigelowii;37350;actual measurement (following LEDA data standards);409.46;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;409.46;409.46;409.46;409.46;2;;;2003-09-04 00:00:00.0;preaggregated value obtained from single record;without petiole and rachis;
Carex bigelowii;37350;actual measurement (following LEDA data standards);289.69;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;289.69;289.69;289.69;289.69;2;;;2003-09-04 00:00:00.0;preaggregated value obtained from single record;without petiole and rachis;
Carex bigelowii;37350;actual measurement (following LEDA data standards);608.97;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;608.97;608.97;608.97;608.97;2;;;2003-08-21 00:00:00.0;preaggregated value obtained from single record;without petiole and rachis;
Carex bigelowii;37350;actual measurement (following LEDA data standards);515.87;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;515.87;515.87;515.87;515.87;2;;;2003-09-04 00:00:00.0;preaggregated value obtained from single record;with petiole and rachis;
Carex bigelowii;37350;actual measurement (following LEDA data standards);324.28;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;324.28;324.28;324.28;324.28;2;;;2003-08-20 00:00:00.0;preaggregated value obtained from single record;without petiole and rachis;
Carex bigelowii;37350;actual measurement (following LEDA data standards);280.76;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;280.76;280.76;280.76;280.76;2;;;2003-08-20 00:00:00.0;preaggregated value obtained from single record;without petiole and rachis;
Carex bigelowii;37350;actual measurement (following LEDA data standards);464.1;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;464.1;464.1;464.1;464.1;2;;;2003-08-21 00:00:00.0;preaggregated value obtained from single record;without petiole and rachis;
Carex bigelowii;37350;actual measurement (following LEDA data standards);353.05;1;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;353.05;353.05;353.05;353.05;2;;;2003-08-21 00:00:00.0;preaggregated value obtained from single record;without petiole and rachis;
Carex brizoides;37356;actual measurement (following LEDA data standards);1382.75;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1300.35;1677;575;1382.75;2;;;2004-05-11 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Carex buxbaumii;37932;actual measurement (following LEDA data standards);4341;10;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;4415.1;7132;2282;4341;2;;;2004-07-07 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Carex capillaris;37936;actual measurement (following LEDA data standards);30.58;7;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Aarnes), corresponding adress: graciela.rusch@nina.no;33.28;54.18;19.86;30.58;1;;;2005-07-21 00:00:00.0;preaggregated value obtained from single record;with petiole and rachis;
Carex caryophyllea;37362;actual measurement;566;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;566;;;2;;;;;without petiole and rachis;
Carex caryophyllea;37362;actual measurement;209;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;209;;;2;;;;;without petiole and rachis;
Carex cespitosa;37943;actual measurement (following LEDA data standards);960;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;995.9;1441;484;960;2;;;2005-05-26 00:00:00.0;preaggregated value obtained from single record;with petiole and rachis;
Carex cespitosa;37943;actual measurement (following LEDA data standards);1828;7;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1842.86;2638;1181;1828;2;;;2004-07-07 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Carex chordorrhiza;37947;actual measurement (following LEDA data standards);107.25;2;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;107.25;133.5;81;107.25;2;;;2005-05-25 00:00:00.0;preaggregated value obtained from single record;with petiole and rachis;
Carex curta;37950;actual measurement;473;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;473;;;2;;;1996-06-10 00:00:00.0;;without petiole and rachis;
Carex curta;37950;actual measurement (following LEDA data standards);387.75;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Krüger), Correspondig address: michael.kleyer@uni-oldenburg.de;433.9;569;272;387.75;2;;;;Preaggregated value obtained from single record. ;without petiole and rachis;
Carex davalliana;37956;actual measurement (following LEDA data standards);79;8;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;77.81;124.5;24.5;79;2;;;2005-05-25 00:00:00.0;preaggregated value obtained from single record;with petiole and rachis;
Carex demissa;37374;actual measurement;688;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;688;;;2;;;1996-09-09 00:00:00.0;;without petiole and rachis;
Carex demissa;37374;actual measurement (following LEDA data standards);117.75;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;145.8;229;84;117.75;2;;;2004-06-06 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Carex demissa;37374;actual measurement;285;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;285;;;2;;;1996-06-18 00:00:00.0;;without petiole and rachis;
Carex digitata;37970;actual measurement;379;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;379;;;2;;;1996-07-15 00:00:00.0;;without petiole and rachis;
Carex digitata;37970;actual measurement (following LEDA data standards);581.5;5;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;708.22;1077.25;572.33;581.5;1;;;2003-06-19 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Carex dioica;37381;actual measurement;64;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;64;;;1;;;1997-06-13 00:00:00.0;;without petiole and rachis;
Carex dioica;37381;actual measurement (following LEDA data standards);10.14;7;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Aarnes), corresponding adress: graciela.rusch@nina.no;10.48;13.81;6.38;10.14;1;;;2005-07-22 00:00:00.0;preaggregated value obtained from single record;with petiole and rachis;
Carex dioica;37381;actual measurement (following LEDA data standards);28.5;10;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;36.6;87;20;28.5;2;;;2005-06-14 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Carex distans;37979;actual measurement (following LEDA data standards);269.5;9;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;312.24;671.66;185;269.5;1;;;2005-05-24 00:00:00.0;preaggregated value obtained from single record;with petiole and rachis;
Carex distans;37979;actual measurement (following LEDA data standards);261;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;271.45;365;185;261;2;;;2004-06-05 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Carex divulsa;37393;actual measurement;1403.7;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;1403.7;;;1;;;1997-09-13 00:00:00.0;;without petiole and rachis;
Carex divulsa subsp. leersii;36954;actual measurement (following LEDA data standards);744.5;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;740.7;883.5;599.5;744.5;2;;;2004-05-11 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Carex echinata;37888;actual measurement;334;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;334;;;2;;;1996-09-09 00:00:00.0;;without petiole and rachis;
Carex echinata;37888;actual measurement;102;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;102;;;2;;;1996-08-28 00:00:00.0;;without petiole and rachis;
Carex elata;37396;actual measurement (following LEDA data standards);2693.25;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Krüger), Correspondig address: michael.kleyer@uni-oldenburg.de;2724.85;3151;2304.5;2693.25;2;;;;Preaggregated value obtained from single record. ;without petiole and rachis;
Carex elongata;37397;actual measurement (following LEDA data standards);1210;7;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1077.75;1246.74;664.5;1210;2;;;2005-05-25 00:00:00.0;preaggregated value obtained from single record;with petiole and rachis;
Carex extensa;37399;actual measurement (following LEDA data standards);101.25;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;103.68;162;64.5;101.25;2;;;2004-06-06 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Carex flacca;37912;actual measurement;554;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;554;;;2;;;1996-06-18 00:00:00.0;;without petiole and rachis;
Carex flacca;37912;actual measurement;795;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;795;;;2;;;1996-08-16 00:00:00.0;;without petiole and rachis;
Carex flacca;37912;actual measurement (following LEDA data standards);555.25;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Krüger), Correspondig address: michael.kleyer@uni-oldenburg.de;564.6;847.5;262;555.25;2;;;;Preaggregated value obtained from single record. ;without petiole and rachis;
Carex flava;37404;actual measurement (following LEDA data standards);331;5;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;371;612;161;331;2;;;2004-07-09 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Carex frigida;37406;actual measurement (following LEDA data standards);267.75;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;293.65;699;141;267.75;2;;;2004-07-09 00:00:00.0;Preaggregated value obtained from single record. #1: ground leaves, rest stem leaves;with petiole and rachis;
Carex hirta;37296;actual measurement;1144;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;1144;;;2;;;1996-08-16 00:00:00.0;;without petiole and rachis;
Carex hirta;37296;actual measurement;2634;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;2634;;;2;;;1996-08-28 00:00:00.0;;without petiole and rachis;
Carex hirta;37296;actual measurement (following LEDA data standards);430.25;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Krüger), Correspondig address: michael.kleyer@uni-oldenburg.de;410.3;520.5;202.5;430.25;2;;;;Preaggregated value obtained from single record. ;without petiole and rachis;
