The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", m_methodname "general method", dia_name "diaspore type", sm_singlevalue "single value [mg]", sm_samples "sample size", sm_valid "valid", sm_median "median", ref_refname "reference", sm_mean "mean SM [mg]", sm_maximum "maximum SM [mg]", sm_minimum "minimum SM [mg]", sm_replicates "number of replicates", sm_gencomment "general comment", dmlv_name "Drying method", or_origrefname "original reference", dia_code "diaspore type code" FROM (SELECT case when sm_median is not null then sm_median when sm_mean is not null then sm_mean when sm_minimum is not null and sm_maximum is not null then (sm_minimum + sm_maximum) / 2 when sm_minimum is not null then sm_minimum when sm_maximum is not null then sm_maximum else null end AS sm_singlevalue, sbs_sbsnumber, sbs_sbsname, m_methodname, dia_name, sm_median, sm_mean, sm_minimum, sm_maximum, sm_samples, sm_valid, ref_refname, sm_replicates, sm_gencomment, dmlv_name, or_origrefname, dia_code, sm_sbsnumber FROM (SELECT sbs.sbs_sbsnumber, sbs.sbs_sbsname, sm_m.m_methodname, sm_m.dia_name, sm_m.sm_median, sm_m.sm_mean, sm_m.sm_minimum, sm_m.sm_maximum, sm_m.sm_samples, sm_m.sm_valid, sm_m.ref_refname, sm_m.sm_replicates, sm_m.sm_gencomment, sm_m.dmlv_name, sm_m.or_origrefname, sm_m.dia_code, sm_m.sm_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT sm_dialv.sm_sbsnumber, m.m_methodname, sm_dialv.dia_name, sm_dialv.sm_median, sm_dialv.sm_mean, sm_dialv.sm_minimum, sm_dialv.sm_maximum, sm_dialv.sm_samples, sm_dialv.sm_valid, sm_dialv.ref_refname, sm_dialv.sm_replicates, sm_dialv.sm_gencomment, sm_dialv.dmlv_name, sm_dialv.or_origrefname, sm_dialv.dia_code FROM (SELECT r_sm.sm_sbsnumber, r_sm.sm_methodid, dialv.dia_name, r_sm.sm_median, r_sm.sm_mean, r_sm.sm_minimum, r_sm.sm_maximum, r_sm.sm_samples, r_sm.sm_valid, r_sm.ref_refname, r_sm.sm_replicates, r_sm.sm_gencomment, r_sm.dmlv_name, r_sm.or_origrefname, dialv.dia_code FROM (SELECT sm_dmlv.sm_sbsnumber, sm_dmlv.sm_methodid, sm_dmlv.sm_diasporemorphid, sm_dmlv.sm_median, sm_dmlv.sm_mean, sm_dmlv.sm_minimum, sm_dmlv.sm_maximum, sm_dmlv.sm_samples, sm_dmlv.sm_valid, r.ref_refname, sm_dmlv.sm_replicates, sm_dmlv.sm_gencomment, sm_dmlv.dmlv_name, sm_dmlv.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT sm_orf.sm_sbsnumber, sm_orf.sm_methodid, sm_orf.sm_diasporemorphid, sm_orf.sm_median, sm_orf.sm_mean, sm_orf.sm_minimum, sm_orf.sm_maximum, sm_orf.sm_samples, sm_orf.sm_valid, sm_orf.sm_referenceid, sm_orf.sm_replicates, sm_orf.sm_gencomment, dmlv.dmlv_name, sm_orf.or_origrefname FROM (SELECT sm.sm_sbsnumber, sm.sm_methodid, sm.sm_diasporemorphid, sm.sm_median, sm.sm_mean, sm.sm_minimum, sm.sm_maximum, sm.sm_samples, sm.sm_valid, sm.sm_referenceid, sm.sm_replicates, sm.sm_gencomment, sm.sm_dryingmethodid, orf.or_origrefname FROM (SELECT sbsnumber AS sm_sbsnumber, methodid AS sm_methodid, germinuleordispersuleid AS sm_diasporemorphid, median AS sm_median, mean AS sm_mean, minimum AS sm_minimum, maximum AS sm_maximum, n AS sm_samples, valid AS sm_valid, referenceid AS sm_referenceid, seednumberperindividual AS sm_replicates, p_comment AS sm_gencomment, dryingmethodid AS sm_dryingmethodid, origreferenceid AS sm_origreferenceid FROM (SELECT seedweightid, sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, n, seednumberperindividual, germinuleordispersuleid, mean, minimum, maximum, median, methodid, dryingmethodid, balanceerror, stddeviation, stderror, collectiondate, p_comment, created_when, updated_when, valid, validsince, validuntil, ledaid FROM seedweight NATURAL JOIN taxontosbsassignment WHERE valid IN (-2, 1, -1, 0, 2, -8, -4, -3, 2, -8))) sm FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON sm.sm_origreferenceid = orf.or_origrefid) sm_orf FULL JOIN (SELECT dryingmethodid AS dmlv_id, dryingmethodname AS dmlv_name FROM (select dryingmethodid, dryingmethodname from dryingmethod_lv)) dmlv ON sm_orf.sm_dryingmethodid = dmlv.dmlv_id) sm_dmlv ON r.ref_referenceid = sm_dmlv.sm_referenceid) r_sm LEFT JOIN (SELECT diasporemorphologyid AS dia_id, diasporemorphologyname AS dia_name, diasporemorphologycode AS dia_code FROM (select diasporemorphologyid, diasporemorphologycode, diasporemorphologyname from diasporemorphology_lv)) dialv ON r_sm.sm_diasporemorphid = dialv.dia_id) sm_dialv LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON sm_dialv.sm_methodid = m.m_methodid) sm_m ON sbs.sbs_sbsnumber = sm_m.sm_sbsnumber)) ORDER BY sbs_sbsname
on Fri Mar 14 16:35:53 CET 2008 .

SBS name;SBS number;general method;diaspore type;single value [mg];sample size;valid;median;reference;mean SM [mg];maximum SM [mg];minimum SM [mg];number of replicates;general comment;Drying method;original reference;diaspore type code
Asparagus officinalis;38660;other;germinule;19.9328;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);19.9328;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Asparagus officinalis;38660;actual measurement (following LEDA data standards);germinule;17.74;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;17.74;;;10;used balance: Mettler H51, seed;Air dried weight;;3
Asparagus officinalis;38660;actual measurement (following LEDA data standards);germinule;13.34;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;13.34;;;50;used balance: Mettler H51, seed;Air dried weight;;3
Asparagus officinalis;38660;actual measurement (following LEDA data standards);germinule;17.74;1;-2;17.74;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;17.74;17.74;17.74;;preaggregated value obtained from single record;Air dried weight;;3
Asperugo procumbens;12544;actual measurement;germinule;2.457;;-4;;BIOLFLOR database;2.457;2.591;2.123;;;Air dried weight;;3
Asperugo procumbens;12544;actual measurement;germinule;18.124;;-4;;BIOLFLOR database;18.124;;;;;Air dried weight;;3
Asperugo procumbens;12544;actual measurement;one-seeded generative dispersule;18.124;;-4;;BIOLFLOR database;18.124;;;;;Air dried weight;;2a
Asperula aristata;31962;actual measurement;multi-seeded generative dispersule;.74;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);.74;;;50;50-2000 air-dried matured seeds;Air dried weight;;2b
Asperula arvensis;32387;actual measurement;one-seeded generative dispersule;7.233;;-4;;BIOLFLOR database;7.233;7.453;6.937;;;Air dried weight;;2a
Asperula arvensis;32387;actual measurement;germinule;7.233;;-4;;BIOLFLOR database;7.233;7.453;6.937;;;Air dried weight;;3
Asperula cynanchica;31904;actual measurement;one-seeded generative dispersule;.965;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.965;;;20;;Air dried weight;;2a
Asperula purpurea;31751;actual measurement;multi-seeded generative dispersule;.66;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);.66;;;50;50-2000 air-dried matured seeds;Air dried weight;;2b
Asperula tinctoria;32329;actual measurement;one-seeded generative dispersule;2.8;;-4;;BIOLFLOR database;2.8;3.3;2.3;;;Air dried weight;;2a
Asperula tinctoria;32329;actual measurement;germinule;2.8;;-4;;BIOLFLOR database;2.8;3.3;2.3;;;Air dried weight;;3
Asphodelus albus;39161;actual measurement;germinule;3.13818;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);3.13818;;;1;1996-1997, n an replicates unknown;Air dried weight;;3
Asphodelus fistulosus;38669;actual measurement;generative dispersule;2.856;1;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;2.856;2.856;2.856;75;;Air dried weight;;2
Aster alpinus;3147;actual measurement;germinule;.86;;-4;;BIOLFLOR database;.86;;;;;Air dried weight;;3
Aster amellus;3537;actual measurement;germinule;1.381;;-4;;BIOLFLOR database;1.381;2.2;.883;;;Air dried weight;;3
Aster amellus;3537;actual measurement;germinule;.764857143;7;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;.764857143;.806;.732;100;;Air dried weight;;3
Aster amellus;3537;actual measurement;germinule;.54;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);.54;;;50;50-2000 air-dried matured seeds;Air dried weight;;3
Aster amellus;3537;actual measurement;one-seeded generative dispersule;1.381;;-4;;BIOLFLOR database;1.381;2.2;.883;;;Air dried weight;;2a
Aster amellus;3537;actual measurement;generative dispersule;.799;1;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;.799;.799;.799;100;;Air dried weight;;2
Aster laevis;5953;actual measurement;germinule;.523;;-4;;BIOLFLOR database;.523;.545;.505;;;Air dried weight;;3
Aster lanceolatus;5496;actual measurement;one-seeded generative dispersule;.45;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.45;;;40;;Air dried weight;;2a
Aster linosyris;5330;other;one-seeded generative dispersule;1.3568;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);1.3568;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;2a
Aster linosyris;5330;actual measurement;germinule;1.33;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);1.33;;;50;50-2000 air-dried matured seeds;Air dried weight;;3
Aster linosyris;5330;actual measurement;one-seeded generative dispersule;1.456;;-4;;BIOLFLOR database;1.456;1.516;1.382;;;Air dried weight;;2a
Aster linosyris;5330;actual measurement;germinule;1.456;;-4;;BIOLFLOR database;1.456;1.516;1.382;;;Air dried weight;;3
Aster linosyris;5330;other;germinule;1.3568;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);1.3568;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Aster novae-angliae;5614;actual measurement;germinule;.434;;-4;;BIOLFLOR database;.434;;;;;Air dried weight;;3
Aster novi-belgii;4901;actual measurement;germinule;.409;;-4;;BIOLFLOR database;.409;.423;.368;;;Air dried weight;;3
Aster novi-belgii;4901;actual measurement;one-seeded generative dispersule;.398;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.398;;;50;;Air dried weight;;2a
Aster novi-belgii;4901;actual measurement;one-seeded generative dispersule;.42;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.42;;;20;;Air dried weight;;2a
Aster tradescantii;3673;actual measurement;unknown;.103;0;1;;Mazer, Susan(1989): Ecological, taxonomic, and life history correlates of seed mass among Indiana dunes angiosperm [];.103;;;0;;Air dried weight;Mazer, Susan(1989): Ecological, taxonomic, and life history correlates of seed mass among Indiana dunes angiosperm [];4
Aster tradescantii;3673;actual measurement;germinule;.2097;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);.2097;;;100;;Air dried weight;;3
Aster tripolium;3539;actual measurement (following LEDA data standards);one-seeded generative dispersule;.9;10;-2;.9;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.92;1.12;.72;;preaggregated value obtained from single record;Air dried weight;;2a
Aster tripolium;3539;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.21;1;-2;1.21;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.21;1.21;1.21;;preaggregated value obtained from single record;Air dried weight;;2a
Aster tripolium;3539;actual measurement (following LEDA data standards);one-seeded generative dispersule;.83;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.83;;;10;used balance: Mettler H51, disp. unit with pappus;Air dried weight;;2a
Aster tripolium;3539;actual measurement (following LEDA data standards);one-seeded generative dispersule;.88;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.88;;;10;used balance: Mettler H51, disp. unit with pappus;Air dried weight;;2a
Aster tripolium;3539;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.06;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.06;;;10;used balance: Mettler H51, disp. unit with pappus;Air dried weight;;2a
Aster tripolium;3539;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.21;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.21;;;20;used balance: Mettler H51, seed with pappus;Air dried weight;;2a
Aster tripolium;3539;actual measurement (following LEDA data standards);one-seeded generative dispersule;.97;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.97;;;10;used balance: Mettler H51, disp. unit with pappus;Air dried weight;;2a
Aster tripolium;3539;actual measurement (following LEDA data standards);one-seeded generative dispersule;.72;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.72;;;10;used balance: Mettler H51, disp. unit with pappus;Air dried weight;;2a
Aster tripolium;3539;actual measurement (following LEDA data standards);one-seeded generative dispersule;.99;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.99;;;10;used balance: Mettler H51, disp. unit with pappus;Air dried weight;;2a
Aster tripolium;3539;actual measurement (following LEDA data standards);one-seeded generative dispersule;.88;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.88;;;10;used balance: Mettler H51, disp. unit with pappus;Air dried weight;;2a
Aster tripolium;3539;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.12;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.12;;;10;used balance: Mettler H51, disp. unit with pappus;Air dried weight;;2a
Aster tripolium;3539;actual measurement (following LEDA data standards);one-seeded generative dispersule;.92;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.92;;;10;used balance: Mettler H51, disp. unit with pappus;Air dried weight;;2a
Aster tripolium;3539;actual measurement (following LEDA data standards);one-seeded generative dispersule;.83;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.83;;;10;used balance: Mettler H51, disp. unit with pappus;Air dried weight;;2a
Asterolinon linum-stellatum;28964;actual measurement;germinule;.29033;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);.29033;;;1;1996-1997, n an replicates unknown;Air dried weight;;3
Astragalus cicer;21198;actual measurement;germinule;3.923;;-4;;BIOLFLOR database;3.923;4.54;2.56;;;Air dried weight;;3
Astragalus cicer;21198;actual measurement;one-seeded generative dispersule;3.923;;-4;;BIOLFLOR database;3.923;4.54;2.56;;;Air dried weight;;2a
Astragalus danicus;22416;actual measurement;one-seeded generative dispersule;1.414;2;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.414;1.473;1.355;100;;Air dried weight;;2a
Astragalus danicus;22416;actual measurement;one-seeded generative dispersule;1.296;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;1.296;;;30;;Air dried weight;;2a
Astragalus glycyphylloides;20811;actual measurement;generative dispersule;7.17;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);7.17;;;1;n an replicates unknown;Air dried weight;;2
Astragalus glycyphyllos;22427;actual measurement;germinule;4.726;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;4.726;;;50;;Air dried weight;;3
Astragalus glycyphyllos;22427;actual measurement;germinule;4.801;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;4.801;;;50;;Air dried weight;;3
Astragalus glycyphyllos;22427;actual measurement;germinule;5.026;;-4;;BIOLFLOR database;5.026;5.55;4.8;;;Air dried weight;;3
Astragalus glycyphyllos;22427;actual measurement;one-seeded generative dispersule;4.801;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;4.801;;;50;;Air dried weight;;2a
Astragalus glycyphyllos;22427;actual measurement;one-seeded generative dispersule;4.726;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;4.726;;;50;;Air dried weight;;2a
Astragalus glycyphyllos;22427;actual measurement;one-seeded generative dispersule;5.026;;-4;;BIOLFLOR database;5.026;5.55;4.8;;;Air dried weight;;2a
Astragalus glycyphyllos;22427;other;one-seeded generative dispersule;5.2284;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);5.2284;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;2a
Astragalus glycyphyllos;22427;other;one-seeded generative dispersule;5.0664;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);5.0664;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;2a
Astragalus glycyphyllos;22427;other;one-seeded generative dispersule;6.0524;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);6.0524;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;2a
Astragalus glycyphyllos;22427;other;germinule;6.0524;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);6.0524;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Astragalus glycyphyllos;22427;other;germinule;5.0664;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);5.0664;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Astragalus glycyphyllos;22427;other;germinule;5.2284;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);5.2284;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Astragalus hamosus;19740;actual measurement;generative dispersule;3.1;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);3.1;;;1;n an replicates unknown;Air dried weight;;2
Astragalus penduliflorus;20875;actual measurement;germinule;5.433;;-4;;BIOLFLOR database;5.433;;;;;Air dried weight;;3
Astrantia bavarica;2397;actual measurement;germinule;1.672;;-4;;BIOLFLOR database;1.672;1.685;1.658;;;Air dried weight;;3
Astrantia bavarica;2397;actual measurement;one-seeded generative dispersule;1.672;;-4;;BIOLFLOR database;1.672;1.685;1.658;;;Air dried weight;;2a
Astrantia major;1925;actual measurement;germinule;3.19;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);3.19;;;50;50-2000 air-dried matured seeds;Air dried weight;;3
Astrantia major;1925;actual measurement;one-seeded generative dispersule;2.871;;-4;;BIOLFLOR database;2.871;3.3;2.563;;;Air dried weight;;2a
Astrantia major;1925;actual measurement;germinule;2.871;;-4;;BIOLFLOR database;2.871;3.3;2.563;;;Air dried weight;;3
Astrodaucus orientalis;1929;actual measurement;generative dispersule;4.9;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);4.9;;;1;n an replicates unknown;Air dried weight;;2
Athamanta cretensis;1469;actual measurement;germinule;2.117;;-4;;BIOLFLOR database;2.117;2.142;2.034;;;Air dried weight;;3
Athamanta cretensis;1469;actual measurement;one-seeded generative dispersule;2.117;;-4;;BIOLFLOR database;2.117;2.142;2.034;;;Air dried weight;;2a
Atriplex calotheca;17758;actual measurement;one-seeded generative dispersule;.6035;2;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;.6035;.742;.465;100;;Air dried weight;;2a
Atriplex calotheca;17758;actual measurement;germinule;.86;;-4;;BIOLFLOR database;.86;;;;;Air dried weight;;3
Atriplex glabriuscula;17760;actual measurement;germinule;.6435;2;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;.6435;.649;.638;100;;Air dried weight;;3
Atriplex glabriuscula;17760;other;germinule;4.078;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);4.078;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Atriplex hortensis;17771;actual measurement;germinule;1.726;;-4;;BIOLFLOR database;1.726;2.2;.9;;;Air dried weight;;3
Atriplex hortensis;17771;actual measurement;germinule;3.655;;-4;;BIOLFLOR database;3.655;5.5;1;;;Air dried weight;;3
Atriplex hortensis;17771;actual measurement;germinule;3.2;1;1;;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;;5.5;.9;1;n and replicates unknown;Air dried weight;;3
Atriplex laciniata;17773;other;unknown;21.4448;1;2;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);21.4448;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;4
Atriplex littoralis;17778;other;germinule;1.9432;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);1.9432;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Atriplex littoralis;17778;other;germinule;1.172;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);1.172;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Atriplex littoralis;17778;actual measurement;germinule;1.206;;-4;;BIOLFLOR database;1.206;;;;;Air dried weight;;3
Atriplex oblongifolia;17673;actual measurement;germinule;1.856;;-4;;BIOLFLOR database;1.856;;;;;Air dried weight;;3
Atriplex oblongifolia;17673;actual measurement;one-seeded generative dispersule;3.2364;5;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.2364;3.485;3.032;100;;Air dried weight;;2a
Atriplex patula;17675;actual measurement;one-seeded generative dispersule;1.334;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;1.334;;;50;;Air dried weight;;2a
Atriplex patula;17675;actual measurement;germinule;1.216;;-4;;BIOLFLOR database;1.216;1.4;1.087;;;Air dried weight;;3
Atriplex patula;17675;actual measurement;germinule;5.065;;-4;;BIOLFLOR database;5.065;5.5;4.63;;;Air dried weight;;3
Atriplex patula;17675;actual measurement (following LEDA data standards);germinule;5.13;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;5.13;;;10;used balance: Mettler H51, seed;Air dried weight;;3
Atriplex patula;17675;actual measurement (following LEDA data standards);germinule;5.13;1;-2;5.13;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;5.13;5.13;5.13;;preaggregated value obtained from single record;Air dried weight;;3
Atriplex patula;17675;other;germinule;1.3588;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);1.3588;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Atriplex praecox;17678;other;unknown;1.9604;1;2;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);1.9604;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;4
Atriplex prostrata;44815;actual measurement (following LEDA data standards);germinule;1.28;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.28;;;100;used balance: Mettler H51, seed;Air dried weight;;3
Atriplex prostrata;44815;actual measurement (following LEDA data standards);germinule;3.31;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;3.31;;;100;used balance: Mettler H51, seed;Air dried weight;;3
Atriplex prostrata;44815;other;germinule;1.2628;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);1.2628;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Atriplex prostrata;44815;other;germinule;1.202;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);1.202;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Atriplex prostrata;44815;other;germinule;1.6508;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);1.6508;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Atriplex prostrata;44815;other;germinule;6.6616;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);6.6616;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Atriplex prostrata;44815;actual measurement (following LEDA data standards);germinule;3.31;1;-2;3.31;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;3.31;3.31;3.31;;preaggregated value obtained from single record;Air dried weight;;3
Atriplex prostrata;44815;actual measurement (following LEDA data standards);germinule;1.28;1;-2;1.28;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;1.28;1.28;1.28;;preaggregated value obtained from single record;Air dried weight;;3
Atriplex prostrata;44815;actual measurement;germinule;.741;;-4;;BIOLFLOR database;.741;.86;.611;;;Air dried weight;;3
Atriplex prostrata;44815;actual measurement;one-seeded generative dispersule;.864;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.864;;;100;;Air dried weight;;2a
Atropa bella-donna;35087;actual measurement;one-seeded generative dispersule;.988;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.988;;;50;;Air dried weight;;2a
Atropa bella-donna;35087;actual measurement;one-seeded generative dispersule;1.08;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;1.08;;;5;;Air dried weight;;2a
Atropa bella-donna;35087;actual measurement;germinule;1.089;;-4;;BIOLFLOR database;1.089;1.144;1.018;;;Unknown;;3
