The following table was created as response to the SQL query
SELECT m_methodname "general method", sbs_sbsname "SBS name", ref_refname "reference", bslv1_name "BBS above ground", bslv2_name "BBS below ground", bbs_valid "valid", bslv3_name "budb seas. at soil surface", sbs_sbsnumber "SBS number", bslv6_name "budb. seas at layer -10-0cm" FROM (SELECT sbs_bbs.bbs_valid, m.m_methodname, sbs_bbs.sbs_sbsnumber, sbs_bbs.sbs_sbsname, sbs_bbs.ref_refname, sbs_bbs.bslv1_name, sbs_bbs.bslv2_name, sbs_bbs.bslv3_name, sbs_bbs.bslv6_name, sbs_bbs.bbs_sbsnumber FROM (SELECT r_bbs.bbs_valid, r_bbs.bbs_methodid, sbs.sbs_sbsnumber, sbs.sbs_sbsname, r_bbs.ref_refname, r_bbs.bslv1_name, r_bbs.bslv2_name, r_bbs.bslv3_name, r_bbs.bslv6_name, r_bbs.bbs_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT bbs_bslv1.bbs_sbsnumber, bbs_bslv1.bbs_valid, bbs_bslv1.bbs_methodid, r.ref_refname, bbs_bslv1.bslv1_name, bbs_bslv1.bslv2_name, bbs_bslv1.bslv3_name, bbs_bslv1.bslv6_name FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT bbs_bslv2.bbs_sbsnumber, bbs_bslv2.bbs_valid, bbs_bslv2.bbs_methodid, bbs_bslv2.bbs_referenceid, bslv1.bslv1_name, bbs_bslv2.bslv2_name, bbs_bslv2.bslv3_name, bbs_bslv2.bslv6_name FROM (SELECT bbs_bslv3.bbs_sbsnumber, bbs_bslv3.bbs_valid, bbs_bslv3.bbs_methodid, bbs_bslv3.bbs_referenceid, bbs_bslv3.bbs_abovegroundid, bslv2.bslv2_name, bbs_bslv3.bslv3_name, bbs_bslv3.bslv6_name FROM (SELECT bbs_bslv6.bbs_sbsnumber, bbs_bslv6.bbs_valid, bbs_bslv6.bbs_methodid, bbs_bslv6.bbs_referenceid, bbs_bslv6.bbs_abovegroundid, bbs_bslv6.bbs_belowgroundid, bslv3.bslv3_name, bbs_bslv6.bslv6_name FROM (SELECT bbs.bbs_sbsnumber, bbs.bbs_valid, bbs.bbs_methodid, bbs.bbs_referenceid, bbs.bbs_abovegroundid, bbs.bbs_belowgroundid, bbs.bbs_soilsurfaceid, bslv6.bslv6_name FROM (SELECT sbsnumber AS bbs_sbsnumber, valid AS bbs_valid, methodid AS bbs_methodid, referenceid AS bbs_referenceid, above_ground_typeid AS bbs_abovegroundid, below_ground_typeid AS bbs_belowgroundid, soilsurface_typeid AS bbs_soilsurfaceid, below_upper_typeid AS bbs_belowupperid FROM (select sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, above_ground_typeid, below_ground_typeid, above_upper_typeid, above_lower_typeid, soilsurface_typeid, below_upper_typeid, below_lower_typeid, created_when, updated_when, valid, validsince, validuntil, ledaid, budbankseasonalityid
from budbankseasonality natural join taxontosbsassignment WHERE valid IN (-2, 1, -1, 0, 2, -8, -4, -3, 2, -8))) bbs FULL JOIN (SELECT budbankseasonalitytypeid AS bslv6_id, budbankseasonalitytypename AS bslv6_name FROM (select budbankseasonalitytypeid, budbankseasonalitytypename from budbankseasonalitytype_lv)) bslv6 ON bbs.bbs_belowupperid = bslv6.bslv6_id) bbs_bslv6 FULL JOIN (SELECT budbankseasonalitytypeid AS bslv3_id, budbankseasonalitytypename AS bslv3_name FROM (select budbankseasonalitytypeid, budbankseasonalitytypename from budbankseasonalitytype_lv)) bslv3 ON bbs_bslv6.bbs_soilsurfaceid = bslv3.bslv3_id) bbs_bslv3 FULL JOIN (SELECT budbankseasonalitytypeid AS bslv2_id, budbankseasonalitytypename AS bslv2_name FROM (select budbankseasonalitytypeid, budbankseasonalitytypename from budbankseasonalitytype_lv)) bslv2 ON bbs_bslv3.bbs_belowgroundid = bslv2.bslv2_id) bbs_bslv2 FULL JOIN (SELECT budbankseasonalitytypeid AS bslv1_id, budbankseasonalitytypename AS bslv1_name FROM (select budbankseasonalitytypeid, budbankseasonalitytypename from budbankseasonalitytype_lv)) bslv1 ON bbs_bslv2.bbs_abovegroundid = bslv1.bslv1_id) bbs_bslv1 ON r.ref_referenceid = bbs_bslv1.bbs_referenceid) r_bbs ON sbs.sbs_sbsnumber = r_bbs.bbs_sbsnumber) sbs_bbs LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON sbs_bbs.bbs_methodid = m.m_methodid) ORDER BY sbs_sbsname
on Thu Mar 13 09:19:18 CET 2008 .

general method;SBS name;reference;BBS above ground;BBS below ground;valid;budb seas. at soil surface;SBS number;budb. seas at layer -10-0cm
unknown;Geum urbanum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;30638;perennial
unknown;Geum urbanum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;30638;perennial
observation (like obvious taxonomical traits);Geum urbanum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;30638;perennial
derivation from photos or drawings;Geum urbanum;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;30638;perennial
derivation from photos or drawings;Geum urbanum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;30638;perennial
derivation from photos or drawings;Geum urbanum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;30638;perennial
derivation from photos or drawings;Geum urbanum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;30638;perennial
derivation from photos or drawings;Gladiolus communis;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;36560;seasonal
observation (like obvious taxonomical traits);Gladiolus communis;CLO-PLA records from September 2005;;seasonal;0;;36560;seasonal
observation (like obvious taxonomical traits);Gladiolus communis;CLO-PLA records from September 2005;;seasonal;0;;36560;seasonal
observation (like obvious taxonomical traits);Gladiolus illyricus;CLO-PLA records from September 2005;;seasonal;0;;36567;seasonal
derivation from photos or drawings;Gladiolus imbricatus;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;36569;seasonal
observation (like obvious taxonomical traits);Gladiolus imbricatus;CLO-PLA records from September 2005;;seasonal;0;;36569;seasonal
derivation from photos or drawings;Gladiolus italicus;CLO-PLA records from September 2005;;seasonal;0;;36571;seasonal
observation (like obvious taxonomical traits);Gladiolus italicus;CLO-PLA records from September 2005;;seasonal;0;;36571;seasonal
derivation from photos or drawings;Gladiolus palustris;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;36576;seasonal
observation (like obvious taxonomical traits);Gladiolus palustris;CLO-PLA records from September 2005;;seasonal;0;;36576;seasonal
derivation from photos or drawings;Glaucium corniculatum;CLO-PLA records from September 2005;seasonal;;0;seasonal;25531;
derivation from photos or drawings;Glaucium flavum;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;25533;perennial
observation (like obvious taxonomical traits);Glaucium flavum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;25533;perennial
derivation from photos or drawings;Glaucium flavum;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;25533;seasonal
derivation from photos or drawings;Glaux maritima;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;28861;perennial
observation (like obvious taxonomical traits);Glaux maritima;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;28861;seasonal
observation (like obvious taxonomical traits);Glaux maritima;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;28861;seasonal
derivation from photos or drawings;Glaux maritima;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;28861;seasonal
derivation from photos or drawings;Glechoma hederacea;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;24650;seasonal
observation (like obvious taxonomical traits);Glechoma hederacea;CLO-PLA records from September 2005;seasonal;;0;seasonal;24650;
field experiment;Glechoma hederacea;CLO-PLA records from September 2005;seasonal;;0;seasonal;24650;
observation (like obvious taxonomical traits);Glechoma hederacea;CLO-PLA records from September 2005;seasonal;;0;seasonal;24650;
unknown;Glechoma hederacea;CLO-PLA records from September 2005;seasonal;;0;seasonal;24650;
unknown;Glechoma hederacea;CLO-PLA records from September 2005;seasonal;;0;seasonal;24650;
unknown;Glechoma hederacea;CLO-PLA records from September 2005;seasonal;;0;seasonal;24650;
unknown;Glechoma hederacea;CLO-PLA records from September 2005;seasonal;;0;seasonal;24650;
unknown;Glechoma hederacea;CLO-PLA records from September 2005;seasonal;;0;seasonal;24650;
derivation from photos or drawings;Glechoma hederacea;CLO-PLA records from September 2005;seasonal;;0;seasonal;24650;
laboratory/greenhouse/garden experiment;Glechoma hirsuta;CLO-PLA records from September 2005;seasonal;;0;seasonal;24653;
laboratory/greenhouse/garden experiment;Glechoma hirsuta;CLO-PLA records from September 2005;seasonal;;0;seasonal;24653;
derivation from photos or drawings;Globularia cordifolia;CLO-PLA records from September 2005;perennial;perennial;0;perennial;25184;perennial
derivation from photos or drawings;Globularia cordifolia;CLO-PLA records from September 2005;perennial;perennial;0;perennial;25184;perennial
derivation from photos or drawings;Globularia cordifolia;CLO-PLA records from September 2005;perennial;perennial;0;perennial;25184;perennial
derivation from photos or drawings;Globularia cordifolia;CLO-PLA records from September 2005;perennial;;0;perennial;25184;
derivation from photos or drawings;Globularia nudicaulis;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;25197;perennial
derivation from photos or drawings;Globularia punctata;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;25198;perennial
derivation from photos or drawings;Globularia punctata;CLO-PLA records from September 2005;perennial & seasonal;;0;perennial;25198;
derivation from photos or drawings;Globularia punctata;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;25198;perennial
observation (like obvious taxonomical traits);Globularia punctata;CLO-PLA records from September 2005;perennial & seasonal;perennial & potential;0;perennial;25198;perennial & potential
derivation from photos or drawings;Globularia punctata;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;25198;perennial
derivation from photos or drawings;Glyceria declinata;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;42323;perennial
derivation from photos or drawings;Glyceria fluitans;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;40814;perennial
unknown;Glyceria fluitans;CLO-PLA records from September 2005;seasonal;;0;seasonal;40814;
derivation from photos or drawings;Glyceria maxima;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;40135;perennial
derivation from photos or drawings;Glyceria maxima;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;40135;perennial
derivation from photos or drawings;Glyceria maxima;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;40135;perennial
derivation from photos or drawings;Glyceria maxima;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;40135;perennial
observation (like obvious taxonomical traits);Glyceria maxima;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;40135;perennial
unknown;Glyceria maxima;CLO-PLA records from September 2005;;perennial;0;;40135;perennial
observation (like obvious taxonomical traits);Glyceria maxima;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;seasonal;40135;perennial
derivation from photos or drawings;Glyceria maxima;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;40135;perennial
derivation from photos or drawings;Glyceria nemoralis;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;40136;perennial
derivation from photos or drawings;Glyceria plicata;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;40816;perennial
derivation from photos or drawings;Glycyrrhiza echinata;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;22285;perennial
observation (like obvious taxonomical traits);Glycyrrhiza glabra;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;21395;perennial
derivation from photos or drawings;Goodyera repens;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;39636;perennial
derivation from photos or drawings;Goodyera repens;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;39636;seasonal
derivation from photos or drawings;Goodyera repens;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;39636;seasonal
observation (like obvious taxonomical traits);Goodyera repens;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;39636;perennial
observation (like obvious taxonomical traits);Goodyera repens;CLO-PLA records from September 2005;seasonal;perennial & potential;0;seasonal;39636;perennial & potential
derivation from photos or drawings;Gratiola officinalis;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;33117;perennial
derivation from photos or drawings;Gratiola officinalis;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;33117;seasonal
derivation from photos or drawings;Gratiola officinalis;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;33117;seasonal
derivation from photos or drawings;Groenlandia densa;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;43982;seasonal
observation (like obvious taxonomical traits);Groenlandia densa;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;43982;seasonal
derivation from photos or drawings;Gymnadenia conopsea;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;39638;seasonal
laboratory/greenhouse/garden experiment;Gymnadenia conopsea;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;39638;seasonal
laboratory/greenhouse/garden experiment;Gymnadenia conopsea;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;39638;seasonal
observation (like obvious taxonomical traits);Gymnadenia conopsea;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;39638;seasonal
observation (like obvious taxonomical traits);Gymnadenia conopsea;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;39638;seasonal
derivation from photos or drawings;Gymnadenia conopsea;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;39638;seasonal
derivation from photos or drawings;Gymnadenia conopsea;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;39638;seasonal
derivation from photos or drawings;Gymnadenia odoratissima;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;39639;seasonal
derivation from photos or drawings;Gymnadenia odoratissima;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;39639;seasonal
observation (like obvious taxonomical traits);Gymnadenia odoratissima;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;39639;seasonal
derivation from photos or drawings;Gypsophila fastigiata;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;16936;perennial
derivation from photos or drawings;Gypsophila fastigiata;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;16936;perennial
derivation from photos or drawings;Gypsophila muralis;CLO-PLA records from September 2005;seasonal;;0;seasonal;16075;
derivation from photos or drawings;Gypsophila paniculata;CLO-PLA records from September 2005;perennial & seasonal;;0;perennial;16941;
unknown;Gypsophila paniculata;CLO-PLA records from September 2005;;perennial;0;;16941;perennial
unknown;Gypsophila paniculata;CLO-PLA records from September 2005;;perennial;0;;16941;perennial
derivation from photos or drawings;Gypsophila perfoliata;CLO-PLA records from September 2005;perennial & seasonal;;0;perennial;16510;
derivation from photos or drawings;Gypsophila repens;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;17131;perennial
observation (like obvious taxonomical traits);Gypsophila repens;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;17131;perennial
derivation from photos or drawings;Hacquetia epipactis;CLO-PLA records from September 2005;perennial;perennial;0;perennial;2221;perennial
derivation from photos or drawings;Hacquetia epipactis;CLO-PLA records from September 2005;perennial;perennial;0;perennial;2221;perennial
derivation from photos or drawings;Hacquetia epipactis;CLO-PLA records from September 2005;perennial;perennial;0;perennial;2221;perennial
derivation from photos or drawings;Halimione pedunculata;CLO-PLA records from September 2005;seasonal;;0;seasonal;17799;
derivation from photos or drawings;Halimione portulacoides;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;17931;perennial
observation (like obvious taxonomical traits);Halimione portulacoides;CLO-PLA records from September 2005;perennial;perennial;0;perennial;17931;perennial
derivation from photos or drawings;Halimione portulacoides;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;17931;perennial
derivation from photos or drawings;Halimione portulacoides;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;17931;perennial
derivation from photos or drawings;Hammarbya paludosa;CLO-PLA records from September 2005;seasonal & potential;;0;seasonal;39641;
observation (like obvious taxonomical traits);Hammarbya paludosa;CLO-PLA records from September 2005;seasonal & potential;seasonal;0;seasonal & potential;39641;seasonal
observation (like obvious taxonomical traits);Hammarbya paludosa;CLO-PLA records from September 2005;seasonal & potential;seasonal;0;seasonal & potential;39641;seasonal
unknown;Hedera helix;CLO-PLA records from September 2005;perennial;;0;perennial;2449;
derivation from photos or drawings;Hedysarum hedysaroides;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;21399;perennial
observation (like obvious taxonomical traits);Hedysarum hedysaroides;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;21399;perennial
derivation from photos or drawings;Helianthemum apenninum;CLO-PLA records from September 2005;perennial;perennial;0;perennial;18679;perennial
observation (like obvious taxonomical traits);Helianthemum apenninum;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;18679;perennial
derivation from photos or drawings;Helianthemum canum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;18656;perennial
observation (like obvious taxonomical traits);Helianthemum canum;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;18656;perennial
derivation from photos or drawings;Helianthemum canum;CLO-PLA records from September 2005;perennial;perennial;0;perennial;18656;perennial
derivation from photos or drawings;Helianthemum nummularium;CLO-PLA records from September 2005;perennial;perennial;0;perennial;18594;perennial
observation (like obvious taxonomical traits);Helianthemum nummularium;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;18594;perennial
unknown;Helianthemum nummularium;CLO-PLA records from September 2005;perennial & seasonal;;0;perennial;18594;
derivation from photos or drawings;Helianthemum nummularium;CLO-PLA records from September 2005;perennial;perennial;0;perennial;18594;perennial
derivation from photos or drawings;Helianthemum nummularium subsp. grandiflorum;CLO-PLA records from September 2005;perennial;;0;perennial;18613;
derivation from photos or drawings;Helianthus annuus;CLO-PLA records from September 2005;seasonal;;0;seasonal;7986;
derivation from photos or drawings;Helianthus tuberosus;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;7788;seasonal
unknown;Helianthus tuberosus;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;7788;seasonal
unknown;Helianthus tuberosus;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;7788;seasonal
field experiment;Helianthus tuberosus;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;7788;seasonal
derivation from photos or drawings;Helianthus tuberosus;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;7788;seasonal
derivation from photos or drawings;Helianthus tuberosus;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;7788;seasonal
derivation from photos or drawings;Helichrysum arenarium;CLO-PLA records from September 2005;seasonal;seasonal & potential;0;seasonal;7066;seasonal & potential
unknown;Helichrysum arenarium;CLO-PLA records from September 2005;perennial & seasonal;perennial & potential;0;perennial;7066;perennial & potential
observation (like obvious taxonomical traits);Helichrysum arenarium;CLO-PLA records from September 2005;;perennial & potential;0;;7066;perennial & potential
observation (like obvious taxonomical traits);Helichrysum arenarium;CLO-PLA records from September 2005;perennial & seasonal;perennial & potential;0;perennial;7066;perennial & potential
observation (like obvious taxonomical traits);Helichrysum arenarium;CLO-PLA records from September 2005;;perennial & potential;0;;7066;perennial & potential
derivation from photos or drawings;Helictotrichon parlatorei;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;43690;perennial
derivation from photos or drawings;Heliotropium europaeum;CLO-PLA records from September 2005;seasonal;;0;seasonal;12039;
derivation from photos or drawings;Helleborus foetidus;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;27081;perennial
derivation from photos or drawings;Helleborus foetidus;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;27081;perennial
derivation from photos or drawings;Helleborus niger;CLO-PLA records from September 2005;perennial;perennial;0;perennial;26973;perennial
derivation from photos or drawings;Helleborus viridis;CLO-PLA records from September 2005;perennial;perennial;0;perennial;27076;perennial
derivation from photos or drawings;Hemerocallis fulva;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;38237;perennial
derivation from photos or drawings;Hemerocallis fulva;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;38237;seasonal
observation (like obvious taxonomical traits);Hemerocallis fulva;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;38237;perennial
derivation from photos or drawings;Hemerocallis lilioasphodelus;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;38653;seasonal
derivation from photos or drawings;Hepatica nobilis;CLO-PLA records from September 2005;;perennial;0;;26984;perennial
observation (like obvious taxonomical traits);Hepatica nobilis;CLO-PLA records from September 2005;perennial;perennial;0;perennial;26984;perennial
derivation from photos or drawings;Hepatica nobilis;CLO-PLA records from September 2005;perennial;perennial;0;perennial;26984;perennial
derivation from photos or drawings;Hepatica nobilis;CLO-PLA records from September 2005;perennial;perennial;0;perennial;26984;perennial
derivation from photos or drawings;Hepatica nobilis;CLO-PLA records from September 2005;perennial;perennial;0;perennial;26984;perennial
derivation from photos or drawings;Hepatica nobilis;CLO-PLA records from September 2005;perennial;perennial;0;perennial;26984;perennial
derivation from photos or drawings;Heracleum austriacum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;1291;perennial
observation (like obvious taxonomical traits);Heracleum mantegazzianum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;1295;perennial
observation (like obvious taxonomical traits);Heracleum mantegazzianum;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;1295;seasonal
observation (like obvious taxonomical traits);Heracleum mantegazzianum;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;1295;perennial
derivation from photos or drawings;Heracleum sphondylium;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;1232;perennial
unknown;Heracleum sphondylium;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;1232;perennial
observation (like obvious taxonomical traits);Heracleum sphondylium;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;1232;seasonal
observation (like obvious taxonomical traits);Heracleum sphondylium;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;1232;perennial
observation (like obvious taxonomical traits);Heracleum sphondylium;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;1232;perennial
derivation from photos or drawings;Heracleum sphondylium;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;1232;perennial
derivation from photos or drawings;Heracleum sphondylium;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;1232;perennial
derivation from photos or drawings;Herminium monorchis;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;39643;seasonal
observation (like obvious taxonomical traits);Herminium monorchis;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;39643;seasonal
derivation from photos or drawings;Herniaria glabra;CLO-PLA records from September 2005;seasonal;;0;seasonal;16521;
derivation from photos or drawings;Herniaria glabra;CLO-PLA records from September 2005;perennial;;0;perennial;16521;
derivation from photos or drawings;Herniaria hirsuta;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;17001;perennial
derivation from photos or drawings;Herniaria hirsuta;CLO-PLA records from September 2005;seasonal;;0;seasonal;17001;
derivation from photos or drawings;Herniaria incana;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;15807;perennial
derivation from photos or drawings;Hesperis matronalis;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;14004;perennial
derivation from photos or drawings;Hesperis matronalis;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;14004;seasonal
derivation from photos or drawings;Hibiscus trionum;CLO-PLA records from September 2005;seasonal;;0;seasonal;25723;
derivation from photos or drawings;Hieracium alpinum;CLO-PLA records from September 2005;perennial;perennial;0;perennial;30615;perennial
observation (like obvious taxonomical traits);Hieracium alpinum;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;30615;perennial
derivation from photos or drawings;Hieracium amplexicaule;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;33881;perennial
derivation from photos or drawings;Hieracium aurantiacum;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;7024;perennial
observation (like obvious taxonomical traits);Hieracium aurantiacum;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;7024;seasonal
derivation from photos or drawings;Hieracium bifidum;CLO-PLA records from September 2005;perennial;perennial;0;perennial;14677;perennial
derivation from photos or drawings;Hieracium bupleuroides;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;36033;perennial
derivation from photos or drawings;Hieracium caesium;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;15820;perennial
derivation from photos or drawings;Hieracium caespitosum;CLO-PLA records from September 2005;seasonal;perennial & potential;0;seasonal;8116;perennial & potential
derivation from photos or drawings;Hieracium cymosum;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;6921;perennial
derivation from photos or drawings;Hieracium echioides;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;6543;perennial
observation (like obvious taxonomical traits);Hieracium echioides;CLO-PLA records from September 2005;perennial;perennial & potential;0;perennial;6543;perennial & potential
unknown;Hieracium echioides;CLO-PLA records from September 2005;perennial & seasonal;perennial & potential;0;perennial;6543;perennial & potential
derivation from photos or drawings;Hieracium fuscocinereum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;14682;perennial
derivation from photos or drawings;Hieracium glaucum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;36455;perennial
derivation from photos or drawings;Hieracium hoppeanum;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;6451;perennial
derivation from photos or drawings;Hieracium humile;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;34141;perennial
derivation from photos or drawings;Hieracium intybaceum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;7054;perennial
derivation from photos or drawings;Hieracium lactucella;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;7271;perennial
derivation from photos or drawings;Hieracium laevigatum;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;44220;perennial
derivation from photos or drawings;Hieracium murorum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;14443;perennial
derivation from photos or drawings;Hieracium murorum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;14443;perennial
derivation from photos or drawings;Hieracium murorum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;14443;perennial
derivation from photos or drawings;Hieracium peleteranum;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;6561;perennial
derivation from photos or drawings;Hieracium piliferum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;24236;perennial
derivation from photos or drawings;Hieracium pilosella;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;6658;perennial
derivation from photos or drawings;Hieracium pilosella;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;6658;seasonal
observation (like obvious taxonomical traits);Hieracium pilosella;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;6658;perennial
observation (like obvious taxonomical traits);Hieracium pilosella;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;6658;perennial
observation (like obvious taxonomical traits);Hieracium pilosella;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;6658;seasonal
unknown;Hieracium pilosella;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;6658;perennial
