The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", m_methodname "general method", lm_singlevalue "single value [mg]", lm_n "sample size", lm_valid "valid", ref_refname "reference", lflv_name "leaf state", lm_mean "mean LM [mg]", lm_maximum "maximum LM [mg]", lm_minimum "minimum LM [mg]", lm_median "median LM [mg]", lm_replicates "number of replicates", lm_stddev "standard deviation", lm_stderror "standard error", lm_collectiondate "collection date", lm_comment "general comment", or_origrefname "original reference" FROM (SELECT case when lm_median is not null then lm_median when lm_mean is not null then lm_mean when lm_minimum is not null and lm_maximum is not null then (lm_minimum + lm_maximum) / 2 when lm_minimum is not null then lm_minimum when lm_maximum is not null then lm_maximum else null end AS lm_singlevalue, sbs_sbsnumber, sbs_sbsname, m_methodname, lm_median, lm_mean, lm_minimum, lm_maximum, lm_n, lm_valid, ref_refname, lflv_name, lm_replicates, lm_stddev, lm_stderror, lm_collectiondate, lm_comment, or_origrefname, lm_sbsnumber FROM (SELECT sbs.sbs_sbsnumber, sbs.sbs_sbsname, m_lm.m_methodname, m_lm.lm_median, m_lm.lm_mean, m_lm.lm_minimum, m_lm.lm_maximum, m_lm.lm_n, m_lm.lm_valid, m_lm.ref_refname, m_lm.lflv_name, m_lm.lm_replicates, m_lm.lm_stddev, m_lm.lm_stderror, m_lm.lm_collectiondate, m_lm.lm_comment, m_lm.or_origrefname, m_lm.lm_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_lm.lm_sbsnumber, m.m_methodname, r_lm.lm_median, r_lm.lm_mean, r_lm.lm_minimum, r_lm.lm_maximum, r_lm.lm_n, r_lm.lm_valid, r_lm.ref_refname, r_lm.lflv_name, r_lm.lm_replicates, r_lm.lm_stddev, r_lm.lm_stderror, r_lm.lm_collectiondate, r_lm.lm_comment, r_lm.or_origrefname FROM (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m JOIN (SELECT lm_lflv.lm_sbsnumber, lm_lflv.lm_methodid, lm_lflv.lm_median, lm_lflv.lm_mean, lm_lflv.lm_minimum, lm_lflv.lm_maximum, lm_lflv.lm_n, lm_lflv.lm_valid, r.ref_refname, lm_lflv.lflv_name, lm_lflv.lm_replicates, lm_lflv.lm_stddev, lm_lflv.lm_stderror, lm_lflv.lm_collectiondate, lm_lflv.lm_comment, lm_lflv.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT lm_orf.lm_sbsnumber, lm_orf.lm_methodid, lm_orf.lm_median, lm_orf.lm_mean, lm_orf.lm_minimum, lm_orf.lm_maximum, lm_orf.lm_n, lm_orf.lm_valid, lm_orf.lm_referenceid, lflv.lflv_name, lm_orf.lm_replicates, lm_orf.lm_stddev, lm_orf.lm_stderror, lm_orf.lm_collectiondate, lm_orf.lm_comment, lm_orf.or_origrefname FROM (SELECT lm.lm_sbsnumber, lm.lm_methodid, lm.lm_median, lm.lm_mean, lm.lm_minimum, lm.lm_maximum, lm.lm_n, lm.lm_valid, lm.lm_referenceid, lm.lm_leafformid, lm.lm_replicates, lm.lm_stddev, lm.lm_stderror, lm.lm_collectiondate, lm.lm_comment, orf.or_origrefname FROM (SELECT sbsnumber AS lm_sbsnumber, methodid AS lm_methodid, median AS lm_median, mean AS lm_mean, minimum AS lm_minimum, maximum AS lm_maximum, n AS lm_n, valid AS lm_valid, referenceid AS lm_referenceid, leafformid AS lm_leafformid, replicates AS lm_replicates, stddeviation AS lm_stddev, stderror AS lm_stderror, collectiondate AS lm_collectiondate, p_comment AS lm_comment, origreferenceid AS lm_origreferenceid FROM (SELECT sbsnumber, leafmassid, taxonid, mean, median, minimum, maximum, stderror, stddeviation, n, replicates, created_when, updated_when, collectiondate, p_comment, methodid, referenceid, origreferenceid, habitattypeid, georefid, valid, validsince, validuntil, ledaid, batchid, leafformid FROM leafmass natural join taxontosbsassignment WHERE valid IN (-2, 1))) lm FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON lm.lm_origreferenceid = orf.or_origrefid) lm_orf FULL JOIN (SELECT leafformid AS lflv_id, leafformname AS lflv_name FROM (select leafformid, leafformname from leafform_lv)) lflv ON lm_orf.lm_leafformid = lflv.lflv_id) lm_lflv ON r.ref_referenceid = lm_lflv.lm_referenceid) r_lm ON m.m_methodid = r_lm.lm_methodid) m_lm ON sbs.sbs_sbsnumber = m_lm.lm_sbsnumber)) ORDER BY sbs_sbsname
on Tue Apr 29 10:41:16 CEST 2008 .

SBS name;SBS number;general method;single value [mg];sample size;valid;reference;leaf state;mean LM [mg];maximum LM [mg];minimum LM [mg];median LM [mg];number of replicates;standard deviation;standard error;collection date;general comment;original reference
Apera interrupta;41910;actual measurement;2.7;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;2.7;;;1;;;1997-09-01 00:00:00.0;;
Apera interrupta;41910;laboratory/greenhouse/garden experiment;.7;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;.75;1.72;.4;.7;2;;;2004-10-11 00:00:00.0;Preaggregated value obtained from single record. preaggregated value obtained from single record;
Apera interrupta;41910;laboratory/greenhouse/garden experiment;.68;9;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;.75;1.72;.4;.68;2;;;2004-10-11 00:00:00.0;preaggregated value obtained from single record;
Apera spica-venti;40884;actual measurement;69.2;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;69.2;;;1;;;1997-05-29 00:00:00.0;;
Apera spica-venti;40884;actual measurement;18.70687237;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;18.70687237;;;2;;;1996-06-24 00:00:00.0;;
Aphanes arvensis;29391;actual measurement;2.341736695;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;2.341736695;;;2;;;1996-06-03 00:00:00.0;;
Aphanes inexspectata;50026;actual measurement;1.890909091;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;1.890909091;;;2;;;1996-05-23 00:00:00.0;;
Aphanes inexspectata;50026;laboratory/greenhouse/garden experiment;2.8;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;3.52;8.87;1.57;2.8;2;;;2004-05-24 00:00:00.0;preaggregated value obtained from single record;
Aphanes inexspectata;50026;laboratory/greenhouse/garden experiment;3.46;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;3.52;8.87;1.57;3.46;2;;;2004-05-24 00:00:00.0;Preaggregated value obtained from single record. ;
Apium graveolens;1456;actual measurement;403.9;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;403.9;;;1;;;1997-06-03 00:00:00.0;;
Apium inundatum;1920;actual measurement (following LEDA data standards);.88;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;.86;1.12;.68;.88;2;;;2004-06-23 00:00:00.0;preaggregated value obtained from single record;
Apium inundatum;1920;actual measurement (following LEDA data standards);1.28;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;1.32;1.87;1.02;1.28;2;;;2004-06-23 00:00:00.0;Preaggregated value obtained from single record. water form;
Apium inundatum;1920;actual measurement (following LEDA data standards);.98;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;1;1.41;.74;.98;2;;;2004-06-23 00:00:00.0;preaggregated value obtained from single record;
Apium inundatum;1920;actual measurement (following LEDA data standards);1.13;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;1.13;1.51;.86;1.13;2;;;2004-06-23 00:00:00.0;Preaggregated value obtained from single record. land form;
Apium inundatum;1920;actual measurement (following LEDA data standards);1.25;9;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;1.32;1.87;1.02;1.25;2;;;2004-06-23 00:00:00.0;preaggregated value obtained from single record;
Apium inundatum;1920;actual measurement (following LEDA data standards);1.12;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;1.13;1.51;.86;1.12;2;;;2004-06-23 00:00:00.0;preaggregated value obtained from single record;
Apium inundatum;1920;actual measurement (following LEDA data standards);.86;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;.86;1.12;.68;.86;2;;;2004-06-23 00:00:00.0;Preaggregated value obtained from single record. land form;
Apium inundatum;1920;actual measurement (following LEDA data standards);.98;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;1;1.41;.74;.98;2;;;2004-06-23 00:00:00.0;Preaggregated value obtained from single record. water form;
Apium nodiflorum;1922;actual measurement;55.74502955;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;55.74502955;;;2;;;1996-09-02 00:00:00.0;;
Apium nodiflorum;1922;actual measurement;145.2750495;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;145.2750495;;;2;;;1996-08-28 00:00:00.0;;
Aquilegia vulgaris;27156;actual measurement;142.0123464;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;142.0123464;;;2;;;1996-07-15 00:00:00.0;;
Arabidopsis suecica;13762;laboratory/greenhouse/garden experiment;20.84;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;22.94;53.31;10.14;20.84;2;;;2004-06-30 00:00:00.0;Preaggregated value obtained from single record. ;
Arabidopsis suecica;13762;laboratory/greenhouse/garden experiment;20.51;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;22.94;53.31;10.14;20.51;2;;;2004-06-30 00:00:00.0;preaggregated value obtained from single record;
Arabidopsis thaliana;12652;actual measurement;4.287334594;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;4.287334594;;;2;;;1996-04-30 00:00:00.0;;
Arabidopsis thaliana;12652;actual measurement;14.99810811;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;14.99810811;;;2;;;1996-06-03 00:00:00.0;;
Arabis glabra;13349;actual measurement (following LEDA data standards);17.1;5;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;19.24;35.67;9.53;17.1;2;;;2005-05-21 00:00:00.0;preaggregated value obtained from single record;
Arabis glabra;13349;laboratory/greenhouse/garden experiment;30.64;8;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;46.21;106.88;20.77;30.64;2;;;2005-05-23 00:00:00.0;preaggregated value obtained from single record;
Arabis hirsuta;13002;actual measurement;15.75671642;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;15.75671642;;;2;;;1996-06-25 00:00:00.0;;
Arabis sagittata;14273;actual measurement (following LEDA data standards);12.81;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;14.44;26.59;7.89;12.81;2;;;2004-05-13 00:00:00.0;Preaggregated value obtained from single record. sample consists of 5 rosette leaves and 5 stem leaves (morphologically very similar);
Arabis sagittata;14273;actual measurement (following LEDA data standards);19.56;5;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;18.49;26.59;11.12;19.56;2;;;2004-05-13 00:00:00.0;preaggregated value obtained from single record;
Arabis sagittata;14273;actual measurement (following LEDA data standards);19.02;6;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;18.49;26.59;11.12;19.02;2;;;2004-05-13 00:00:00.0;Preaggregated value obtained from single record. ground leaves;
Arabis sagittata;14273;actual measurement (following LEDA data standards);12.1;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;14.44;26.59;7.89;12.1;2;;;2004-05-13 00:00:00.0;preaggregated value obtained from single record;
Arctium lappa;6084;actual measurement (following LEDA data standards);1138.63;6;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;1092.55;1533.12;331.05;1138.63;2;;;2004-07-27 00:00:00.0;preaggregated value obtained from single record;
Arctium lappa;6084;laboratory/greenhouse/garden experiment;2455;3;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;2950;4530;1865;2455;2;;;2005-06-24 00:00:00.0;preaggregated value obtained from single record;
Arctium lappa;6084;actual measurement (following LEDA data standards);1577.71;6;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;1450.05;2018.73;423.38;1577.71;2;;;2004-07-27 00:00:00.0;preaggregated value obtained from single record;
Arctium lappa;6084;actual measurement (following LEDA data standards);1450.05;7;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;1450.05;2018.73;423.38;1450.05;2;;;2004-07-27 00:00:00.0;Preaggregated value obtained from single record. ;
Arctium lappa;6084;actual measurement (following LEDA data standards);1092.55;7;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;1092.55;1533.12;331.05;1092.55;2;;;2004-07-27 00:00:00.0;Preaggregated value obtained from single record. ;
Arctium minus;4154;actual measurement;3009.781191;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;3009.781191;;;2;;;1996-06-11 00:00:00.0;;
Arctium minus;4154;actual measurement;5200.092619;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;5200.092619;;;2;;;1996-07-08 00:00:00.0;;
Arctostaphylos alpinus;19579;actual measurement (following LEDA data standards);10;10;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Aarnes), corresponding adress: graciela.rusch@nina.no;with petiole and rachis;9.67;11.45;5.85;10;1;;;2005-07-22 00:00:00.0;preaggregated value obtained from single record;
Arctostaphylos uva-ursi;19582;actual measurement;12.46875;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;12.46875;;;2;;;1996-08-02 00:00:00.0;;
Arenaria serpyllifolia;16833;actual measurement;.768292683;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;.768292683;;;2;;;1996-06-03 00:00:00.0;;
Arenaria serpyllifolia;16833;actual measurement;.955862069;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;.955862069;;;2;;;1996-05-23 00:00:00.0;;
Arenaria serpyllifolia;16833;actual measurement (following LEDA data standards);.24;10;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;with petiole and rachis;.23;.33;.15;.24;2;;;2005-05-27 00:00:00.0;preaggregated value obtained from single record;
Arenaria serpyllifolia s. leptoclados;44912;actual measurement (following LEDA data standards);.39;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;.39;.53;.28;.39;2;;;2004-05-12 00:00:00.0;Preaggregated value obtained from single record. ;
Arenaria serpyllifolia s. leptoclados;44912;actual measurement (following LEDA data standards);.38;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;.39;.53;.28;.38;2;;;2004-05-12 00:00:00.0;preaggregated value obtained from single record;
Aristolochia clematitis;2411;actual measurement (following LEDA data standards);493.42;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;493.42;753.57;350.1;493.42;2;;;2004-06-19 00:00:00.0;Preaggregated value obtained from single record. ;
Aristolochia clematitis;2411;actual measurement (following LEDA data standards);483.28;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;493.42;753.57;350.1;483.28;2;;;2004-06-19 00:00:00.0;preaggregated value obtained from single record;
Aristolochia clematitis;2411;actual measurement (following LEDA data standards);528.03;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;534.67;801.47;381.74;528.03;2;;;2004-06-19 00:00:00.0;preaggregated value obtained from single record;
Aristolochia clematitis;2411;actual measurement (following LEDA data standards);534.67;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;534.67;801.47;381.74;534.67;2;;;2004-06-19 00:00:00.0;Preaggregated value obtained from single record. ;
Armeria maritima;28355;actual measurement (following LEDA data standards);7.68;10;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;with petiole and rachis;8.5;16.56;3.86;7.68;2;;;2004-09-09 00:00:00.0;preaggregated value obtained from single record;
Armeria maritima s. halleri;28712;actual measurement (following LEDA data standards);2.59;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;2.61;3.29;1.58;2.59;2;;;2004-08-26 00:00:00.0;preaggregated value obtained from single record;
Armeria maritima s. halleri;28712;actual measurement (following LEDA data standards);2.61;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;2.61;3.29;1.58;2.61;2;;;2004-08-26 00:00:00.0;Preaggregated value obtained from single record. ;
Armoracia rusticana;13400;actual measurement;2398.048576;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;2398.048576;;;2;;;1996-08-08 00:00:00.0;;
Armoracia rusticana;13400;actual measurement;7403.607473;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;7403.607473;;;2;;;1996-09-02 00:00:00.0;;
Armoracia rusticana;13400;actual measurement;2853.898235;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;2853.898235;;;2;;;1996-06-19 00:00:00.0;;
Arnica montana;3665;actual measurement (following LEDA data standards);103.94;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;112.89;199.82;61.89;103.94;2;;;2004-07-09 00:00:00.0;Preaggregated value obtained from single record. ;
Arnica montana;3665;actual measurement (following LEDA data standards);94.55;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;112.89;199.82;61.89;94.55;2;;;2004-07-09 00:00:00.0;preaggregated value obtained from single record;
Arnoseris minima;3666;actual measurement (following LEDA data standards);36.48;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;35.92;52.25;17.94;36.48;2;;;2004-06-16 00:00:00.0;Preaggregated value obtained from single record. ;
Arnoseris minima;3666;actual measurement (following LEDA data standards);38.45;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;35.92;52.25;17.94;38.45;2;;;2004-06-16 00:00:00.0;preaggregated value obtained from single record;
Arrhenatherum elatius;40414;actual measurement;50.27812675;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;50.27812675;;;2;;;1996-06-11 00:00:00.0;;
Arrhenatherum elatius;40414;actual measurement;11.03;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: Tonia.Heider@uni-oldenburg.de;without petiole and rachis;11.07;16.19;6.91;11.03;2;;;2004-06-24 00:00:00.0;Preaggregated value obtained from single record. rehydration (GARNIER);
Artemisia absinthium;5486;actual measurement;94.66752246;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;94.66752246;;;2;;;1996-08-05 00:00:00.0;;
Artemisia absinthium;5486;actual measurement;104.1975153;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;104.1975153;;;2;;;1996-09-02 00:00:00.0;;
Artemisia annua;5487;actual measurement (following LEDA data standards);22.29;3;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;21.96;40.11;3.47;22.29;1;;;2003-08-18 00:00:00.0;Preaggregated value obtained from single record. ;
Artemisia annua;5487;actual measurement (following LEDA data standards);31.33;4;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;30.23;34.28;23.96;31.33;1;;;2003-08-20 00:00:00.0;Preaggregated value obtained from single record. ;
Artemisia annua;5487;actual measurement (following LEDA data standards);42.56;4;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;42.6;44.66;40.62;42.56;1;;;2003-08-20 00:00:00.0;Preaggregated value obtained from single record. ;
Artemisia annua;5487;actual measurement (following LEDA data standards);24.49;3;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;26.19;46.61;7.46;24.49;1;;;2003-08-18 00:00:00.0;Preaggregated value obtained from single record. ;
Artemisia campestris;2974;actual measurement (following LEDA data standards);8.26;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;9.27;16.47;3.4;8.26;1;;;2003-09-03 00:00:00.0;Preaggregated value obtained from single record. ;
Artemisia campestris;2974;actual measurement (following LEDA data standards);13;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;15.1;29.52;7.17;13;1;;;2003-09-03 00:00:00.0;Preaggregated value obtained from single record. ;
Artemisia maritima;2981;actual measurement (following LEDA data standards);39.52;7;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;42.34;64.84;23.07;39.52;2;;;2004-06-06 00:00:00.0;Preaggregated value obtained from single record. ;
Artemisia maritima;2981;actual measurement (following LEDA data standards);36.52;6;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;42.34;64.84;23.07;36.52;2;;;2004-06-06 00:00:00.0;preaggregated value obtained from single record;
Artemisia maritima;2981;actual measurement (following LEDA data standards);39.35;10;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;with petiole and rachis;39.11;50.75;30.4;39.35;2;;;2003-08-12 00:00:00.0;preaggregated value obtained from single record;
Artemisia vulgaris;4158;actual measurement;230.739648;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;230.739648;;;2;;;1996-08-05 00:00:00.0;;
Artemisia vulgaris;4158;actual measurement;279.8430792;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;279.8430792;;;2;;;1996-09-02 00:00:00.0;;
Arum maculatum;35847;actual measurement;531.6457874;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;531.6457874;;;2;;;1996-05-30 00:00:00.0;;
Arum maculatum;35847;actual measurement;244.8729315;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;244.8729315;;;2;;;1996-06-03 00:00:00.0;;
