The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", m_methodname "general method", rh_singlevalue "single value [m]", rh_n "sample size", rh_valid "record valid", ref_refname "reference", rh_maximum "maximum RH [m]", rh_mean "mean RH [m]", rh_minimum "minimum RH [m]", rh_median "median RH [m]", rh_replicates "number of replicates", rh_comment "general comment", or_origrefname "original reference" FROM (SELECT case when rh_median is not null then rh_median when rh_mean is not null then rh_mean when rh_minimum is not null and rh_maximum is not null then (rh_minimum + rh_maximum) / 2 when rh_minimum is not null then rh_minimum when rh_maximum is not null then rh_maximum else null end AS rh_singlevalue, sbs_sbsname, m_methodname, rh_median, rh_mean, rh_minimum, rh_maximum, rh_n, rh_valid, ref_refname, rh_replicates, rh_comment, or_origrefname, rh_sbsnumber FROM (SELECT sbs.sbs_sbsname, rh_m.m_methodname, rh_m.rh_median, rh_m.rh_mean, rh_m.rh_minimum, rh_m.rh_maximum, rh_m.rh_n, rh_m.rh_valid, rh_m.ref_refname, rh_m.rh_replicates, rh_m.rh_comment, rh_m.or_origrefname, rh_m.rh_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_rh.rh_sbsnumber, m.m_methodname, r_rh.rh_median, r_rh.rh_mean, r_rh.rh_minimum, r_rh.rh_maximum, r_rh.rh_n, r_rh.rh_valid, r_rh.ref_refname, r_rh.rh_replicates, r_rh.rh_comment, r_rh.or_origrefname FROM (SELECT rh_orf.rh_sbsnumber, rh_orf.rh_methodid, rh_orf.rh_median, rh_orf.rh_mean, rh_orf.rh_minimum, rh_orf.rh_maximum, rh_orf.rh_n, rh_orf.rh_valid, r.ref_refname, rh_orf.rh_replicates, rh_orf.rh_comment, rh_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT rh.rh_sbsnumber, rh.rh_methodid, rh.rh_median, rh.rh_mean, rh.rh_minimum, rh.rh_maximum, rh.rh_n, rh.rh_valid, rh.rh_referenceid, rh.rh_replicates, rh.rh_comment, orf.or_origrefname FROM (SELECT sbsnumber AS rh_sbsnumber, methodid AS rh_methodid, median AS rh_median, mean AS rh_mean, minimum AS rh_minimum, maximum AS rh_maximum, n AS rh_n, valid AS rh_valid, referenceid AS rh_referenceid, replicates AS rh_replicates, p_comment AS rh_comment, origreferenceid AS rh_origreferenceid FROM (SELECT releasingheightid, sbsnumber, n, replicates, mean, minimum, maximum, median, stddeviation, stderror, collectiondate, p_comment, methodid, referenceid, supportstructuretypeid, origreferenceid, habitattypeid, georefid, valid, ledaid, batchid FROM releasingheight natural join taxontosbsassignment WHERE valid IN (-2, 1, 2, -8, 2, -8))) rh FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON rh.rh_origreferenceid = orf.or_origrefid) rh_orf ON r.ref_referenceid = rh_orf.rh_referenceid) r_rh LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_rh.rh_methodid = m.m_methodid) rh_m ON sbs.sbs_sbsnumber = rh_m.rh_sbsnumber)) ORDER BY sbs_sbsname
on Fri Feb 05 09:52:56 CET 2010 .

SBS name;general method;single value [m];sample size;record valid;reference;maximum RH [m];mean RH [m];minimum RH [m];median RH [m];number of replicates;general comment;original reference
Cystopteris sudetica;estimation (following LEDA data standards);.3;;1;BIOPOP April 2005;.45;;.15;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Cystopteris sudetica;unknown;.3;;1;BIOPOP April 2005;.4;;.2;;;;
Cytisus scoparius;unknown;1.25;;1;BIOPOP April 2005;2;;.5;;;;
Cytisus scoparius;unknown;1.3;;1;BIOPOP April 2005;;1.3;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Dactylis glomerata;estimation (following LEDA data standards);.85;;1;BIOPOP April 2005;1.2;;.5;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Dactylis glomerata;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;Beddows, A. R. (1959): Biological flora of the British Isles: Dactylis glomerata.
Dactylis glomerata;unknown;.96;;1;BIOPOP April 2005;1.62;;.3;;;;Beddows, A. R. (1959): Biological flora of the British Isles: Dactylis glomerata.
Dactylis glomerata;unknown;.85;;1;BIOPOP April 2005;1.2;;.5;;;;
Dactylorhiza incarnata;unknown;.525;;1;BIOPOP April 2005;.9;;.15;;;;Jäger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Kritischer Band
Dactylorhiza maculata;actual measurement (following LEDA data standards);.46;;1;BIOPOP April 2005;.56;;.36;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Dactylorhiza maculata;actual measurement (following LEDA data standards);.35;;1;BIOPOP April 2005;.45;;.25;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Dactylorhiza maculata;unknown;.35;;1;BIOPOP April 2005;.6;;.1;;;;
Dactylorhiza sambucina;unknown;.2;;1;BIOPOP April 2005;.25;;.15;;;;
Dactylorhiza sphagnicola;actual measurement (following LEDA data standards);.37;25;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.49;.36;.24;.37;;(automatically preaggregated values) ;
Dactylorhiza traunsteineri s. lapponica;estimation (following LEDA data standards);.15;;1;BIOPOP April 2005;.2;;.1;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Dactylorhiza traunsteineri s. lapponica;actual measurement (following LEDA data standards);.16;25;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Wilmann), E-Mail: (bodil.wilmann@nina.no);.23;.17;.08;.16;;(automatically preaggregated values) ;
Danthonia alpina;unknown;.45;;1;BIOPOP April 2005;.6;;.3;;;;
Danthonia decumbens;unknown;.3;;1;BIOPOP April 2005;.45;;.15;;;;
Danthonia decumbens;unknown;.25;;1;BIOPOP April 2005;;.25;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Daphne cneorum;actual measurement (following LEDA data standards);.05;25;1;BIOPOP April 2005;.05;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Daphne cneorum;unknown;.25;;1;BIOPOP April 2005;.4;;.1;;;;
Daphne laureola;actual measurement (following LEDA data standards);1;25;1;BIOPOP April 2005;1;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Daphne mezereum;unknown;.8;;1;BIOPOP April 2005;1.2;;.4;;;;
Daphne striata;unknown;.225;;1;BIOPOP April 2005;.35;;.1;;;;
Datura stramonium;unknown;.75;;1;BIOPOP April 2005;1.2;;.3;;;;
Daucus carota;actual measurement (following LEDA data standards);.6;25;1;BIOPOP April 2005;.6;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Daucus carota;unknown;.65;;1;BIOPOP April 2005;;.65;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Daucus carota;actual measurement (following LEDA data standards);.328;;1;BIOPOP April 2005;;.328;;;;;During, H. J.(1985): Demography of short-lived forbs in chalk grassland in relation to vegetation structure.  The population structure of vegetation.  J.  White.  Dordrecht.[]
Daucus carota;actual measurement (following LEDA data standards);.505;;1;BIOPOP April 2005;;.505;;;;;During, H. J.(1985): Demography of short-lived forbs in chalk grassland in relation to vegetation structure.  The population structure of vegetation.  J.  White.  Dordrecht.[]
Daucus carota;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
Delphinium elatum;unknown;1.4;;1;BIOPOP April 2005;2;;.8;;;;
Deschampsia cespitosa;actual measurement (following LEDA data standards);.525;4;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.55;.503;.41;.525;;(automatically preaggregated values) ;
Deschampsia cespitosa;actual measurement (following LEDA data standards);.348;8;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.365;.324;.25;.348;;(automatically preaggregated values) ;
Deschampsia cespitosa;unknown;1.25;;1;BIOPOP April 2005;;1.25;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Deschampsia cespitosa;actual measurement (following LEDA data standards);1.045;;1;BIOPOP April 2005;1.32;;.77;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Deschampsia cespitosa;actual measurement (following LEDA data standards);.81;;1;BIOPOP April 2005;.99;;.63;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Deschampsia cespitosa;actual measurement (following LEDA data standards);.965;;1;BIOPOP April 2005;1.36;;.57;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Deschampsia cespitosa;actual measurement (following LEDA data standards);.845;;1;BIOPOP April 2005;.95;;.74;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Deschampsia cespitosa;actual measurement (following LEDA data standards);.9;;1;BIOPOP April 2005;1.2;;.6;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Deschampsia cespitosa;actual measurement (following LEDA data standards);.74;;1;BIOPOP April 2005;1;;.48;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Deschampsia flexuosa;actual measurement (following LEDA data standards);.325;6;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.48;.333;.2;.325;;(automatically preaggregated values) ;
Deschampsia flexuosa;actual measurement (following LEDA data standards);.55;;1;BIOPOP April 2005;.7;;.4;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Deschampsia flexuosa;unknown;.375;;1;BIOPOP April 2005;.45;;.3;;;;Scurfield, G. (1954): Biological flora of the British Isles: Deschampsia flexuosa (L.) Trin.
Deschampsia flexuosa;unknown;.3;;1;BIOPOP April 2005;;.3;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Deschampsia flexuosa;actual measurement (following LEDA data standards);.49;;1;BIOPOP April 2005;.67;;.31;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Deschampsia flexuosa;actual measurement (following LEDA data standards);.745;;1;BIOPOP April 2005;.86;;.63;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Deschampsia media;unknown;.45;;1;BIOPOP April 2005;.6;;.3;;;;
Deschampsia setacea;unknown;.4;;1;BIOPOP April 2005;.5;;.3;;;;
Descurainia sophia;unknown;.45;;1;BIOPOP April 2005;.7;;.2;;;;
Desmazeria rigida;unknown;.125;;1;BIOPOP April 2005;.2;;.05;;;;
Deutzia scabra;unknown;1.85;;1;BIOPOP April 2005;2.5;;1.2;;;;
Dianthus arenarius;unknown;.325;;1;BIOPOP April 2005;.45;;.2;;;;
Dianthus armeria;unknown;.45;;1;BIOPOP April 2005;.6;;.3;;;;
Dianthus barbatus;unknown;.45;;1;BIOPOP April 2005;.6;;.3;;;;
Dianthus carthusianorum;estimation (following LEDA data standards);.325;;1;BIOPOP April 2005;.5;;.15;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Dianthus carthusianorum;actual measurement (following LEDA data standards);.4;25;1;BIOPOP April 2005;.4;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Dianthus caryophyllus;unknown;.6;;1;BIOPOP April 2005;.8;;.4;;;;
Dianthus deltoides;unknown;.275;;1;BIOPOP April 2005;.4;;.15;;;;
Dianthus gratianopolitanus;unknown;.175;;1;BIOPOP April 2005;.25;;.1;;;;
Dianthus plumarius;unknown;.225;;1;BIOPOP April 2005;.3;;.15;;;;
Dianthus seguieri;unknown;.375;;1;BIOPOP April 2005;.5;;.25;;;;
Dianthus superbus;laboratory/greenhouse/garden experiment;.49;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.59;.47;.36;.49;;(automatically preaggregated values) ;
Dianthus superbus;unknown;.45;;1;BIOPOP April 2005;.6;;.3;;;;
Dianthus sylvestris;unknown;.225;;1;BIOPOP April 2005;.4;;.05;;;;
Diapensia lapponica;actual measurement (following LEDA data standards);.038;5;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.04;.036;.028;.038;;(automatically preaggregated values) ;
Dichanthium ischaemum;actual measurement (following LEDA data standards);.4;25;1;BIOPOP April 2005;.4;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Dichanthium ischaemum;unknown;.375;;1;BIOPOP April 2005;.6;;.15;;;;
Dictamnus albus;actual measurement (following LEDA data standards);.75;25;1;BIOPOP April 2005;.75;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Dictamnus albus;unknown;.9;;1;BIOPOP April 2005;1.2;;.6;;;;
Digitalis grandiflora;unknown;.9;;1;BIOPOP April 2005;1.2;;.6;;;;
Digitalis lutea;unknown;.5;;1;BIOPOP April 2005;.7;;.3;;;;
Digitalis purpurea;unknown;.95;;1;BIOPOP April 2005;1.5;;.4;;;;
Digitalis purpurea;unknown;1;;1;BIOPOP April 2005;;1;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Digitaria ischaemum;actual measurement (following LEDA data standards);.03;3;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.08;.05;.03;.03;;(automatically preaggregated values) ;
Digitaria ischaemum;unknown;.22;;1;BIOPOP April 2005;.4;;.04;;;;Kirchner, O. v.(1936): Lebensgeschichte der Blütenpflanzen Mitteleuropas
Digitaria ischaemum;unknown;.275;;1;BIOPOP April 2005;.45;;.1;;;;
Digitaria sanguinalis;unknown;.375;;1;BIOPOP April 2005;.6;;.15;;;;
Diphasiastrum alpinum;actual measurement (following LEDA data standards);.056;4;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.09;.062;.045;.056;;(automatically preaggregated values) ;
Diphasiastrum alpinum;unknown;.165;;1;BIOPOP April 2005;.3;;.03;;;;
Diplotaxis muralis;laboratory/greenhouse/garden experiment;.28;8;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.4;.27;.09;.28;;(automatically preaggregated values) ;
Diplotaxis muralis;unknown;.375;;1;BIOPOP April 2005;.6;;.15;;;;
Diplotaxis tenuifolia;unknown;.55;;1;BIOPOP April 2005;.8;;.3;;;;
Diplotaxis tenuifolia;unknown;.55;;1;BIOPOP April 2005;;.55;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Diplotaxis viminea;unknown;.2;;1;BIOPOP April 2005;.3;;.1;;;;
Dipsacus fullonum;unknown;1.35;;1;BIOPOP April 2005;2;;.7;;;;
Dipsacus fullonum;unknown;1.25;;1;BIOPOP April 2005;;1.25;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Dipsacus laciniatus;unknown;.85;;1;BIOPOP April 2005;1.2;;.5;;;;
Dipsacus pilosus;unknown;.9;;1;BIOPOP April 2005;1.2;;.6;;;;
Dipsacus sativus;unknown;1.25;;1;BIOPOP April 2005;1.5;;1;;;;
Dipsacus strigosus;laboratory/greenhouse/garden experiment;1.35;17;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1.55;1.23;.86;1.35;;(automatically preaggregated values) ;
Doronicum austriacum;unknown;.9;;1;BIOPOP April 2005;1.5;;.3;;;;
Doronicum columnae;unknown;.375;;1;BIOPOP April 2005;.6;;.15;;;;
Doronicum glaciale;unknown;.15;;1;BIOPOP April 2005;.25;;.05;;;;
Doronicum grandiflorum;unknown;.33;;1;BIOPOP April 2005;.6;;.06;;;;
Doronicum pardalianches;unknown;.75;;1;BIOPOP April 2005;1;;.5;;;;
Doronicum pardalianches;unknown;.6;;1;BIOPOP April 2005;;.6;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Dorycnium pentaphyllum s. germanicum;actual measurement (following LEDA data standards);.2;25;1;BIOPOP April 2005;.2;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Dorycnium pentaphyllum s. germanicum;unknown;.225;;1;BIOPOP April 2005;.3;;.15;;;;
Dorycnium pentaphyllum s. herbaceum;unknown;.225;;1;BIOPOP April 2005;.3;;.15;;;;
Draba aizoides;unknown;.065;;1;BIOPOP April 2005;.1;;.03;;;;
Draba dubia;unknown;.085;;1;BIOPOP April 2005;.14;;.03;;;;
Draba fladnizensis;unknown;.045;;1;BIOPOP April 2005;.08;;.01;;;;
Draba muralis;unknown;.2;;1;BIOPOP April 2005;.3;;.1;;;;
Draba muralis;unknown;.2;;1;BIOPOP April 2005;;.2;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Draba sauteri;unknown;.06;;1;BIOPOP April 2005;.1;;.02;;;;
Draba siliquosa;unknown;.04;;1;BIOPOP April 2005;.05;;.03;;;;
Draba tomentosa;unknown;.075;;1;BIOPOP April 2005;.12;;.03;;;;
Dracocephalum ruyschiana;unknown;.45;;1;BIOPOP April 2005;.6;;.3;;;;
Drosera anglica;actual measurement (following LEDA data standards);.07;26;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Wilmann), E-Mail: (bodil.wilmann@nina.no);.1;.07;.05;.07;;(automatically preaggregated values) ;
Drosera anglica;unknown;.125;;1;BIOPOP April 2005;.2;;.05;;;;
Drosera intermedia;unknown;.09;;1;BIOPOP April 2005;.15;;.03;;;;
Drosera rotundifolia;unknown;.125;;1;BIOPOP April 2005;.2;;.05;;;;
Drosera rotundifolia;unknown;.15;;1;BIOPOP April 2005;;.15;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Dryas octopetala;unknown;.06;;1;BIOPOP April 2005;.1;;.02;;;;
Dryas octopetala;unknown;.085;;1;BIOPOP April 2005;.15;;.02;;;;
Dryopteris affinis;unknown;1.3;;1;BIOPOP April 2005;1.6;;1;;;;
Dryopteris carthusiana;unknown;.375;;1;BIOPOP April 2005;.6;;.15;;;;
Dryopteris cristata;unknown;.55;;1;BIOPOP April 2005;.8;;.3;;;;
Dryopteris dilatata;unknown;.6;;1;BIOPOP April 2005;1;;.2;;;;
Dryopteris filix-mas;unknown;.75;;1;BIOPOP April 2005;1.2;;.3;;;;
Dryopteris villarii;unknown;.3;;1;BIOPOP April 2005;.45;;.15;;;;
Echinochloa crus-galli;unknown;.45;;1;BIOPOP April 2005;.6;;.3;;;;
Echinocystis lobata;unknown;3.5;;1;BIOPOP April 2005;6;;1;;;;
Echinops sphaerocephalus;unknown;1.2;;1;BIOPOP April 2005;1.8;;.6;;;;
Echium vulgare;actual measurement (following LEDA data standards);.8;25;1;BIOPOP April 2005;.8;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Echium vulgare;unknown;.625;;1;BIOPOP April 2005;1;;.25;;;;
Echium vulgare;unknown;.6;;1;BIOPOP April 2005;;.6;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Elaeagnus angustifolia;unknown;7;;1;BIOPOP April 2005;7;;;;;;
Elaeagnus commutata;unknown;2.75;;1;BIOPOP April 2005;4;;1.5;;;;
Eleocharis austriaca;unknown;.275;;1;BIOPOP April 2005;.4;;.15;;;;
Eleocharis mamillata;estimation (following LEDA data standards);.275;;1;BIOPOP April 2005;.4;;.15;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Eleocharis multicaulis;unknown;.3;;1;BIOPOP April 2005;.45;;.15;;;;
Eleocharis ovata;unknown;.175;;1;BIOPOP April 2005;.3;;.05;;;;
Eleocharis palustris;estimation (following LEDA data standards);.525;;1;BIOPOP April 2005;1;;.05;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Eleocharis palustris;unknown;.35;;1;BIOPOP April 2005;;.35;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Eleocharis parvula;unknown;.05;;1;BIOPOP April 2005;.08;;.02;;;;
Eleocharis quinqueflora;unknown;.1;;1;BIOPOP April 2005;.15;;.05;;;;
Eleocharis uniglumis;unknown;.225;;1;BIOPOP April 2005;.4;;.05;;;;
Eleusine indica;laboratory/greenhouse/garden experiment;.11;22;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.16;.1;.05;.11;;(automatically preaggregated values) ;
Elsholtzia ciliata;unknown;.4;;1;BIOPOP April 2005;.5;;.3;;;;
Elymus caninus;actual measurement (following LEDA data standards);.83;;1;BIOPOP April 2005;1.01;;.65;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Elymus caninus;unknown;.65;;1;BIOPOP April 2005;;.65;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Elymus caninus;unknown;.85;;1;BIOPOP April 2005;1.2;;.5;;;;
Elymus caninus;actual measurement (following LEDA data standards);1.11;;1;BIOPOP April 2005;1.34;;.88;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Elymus caninus;actual measurement (following LEDA data standards);1.025;;1;BIOPOP April 2005;1.2;;.85;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Elymus farctus;unknown;.55;;1;BIOPOP April 2005;.8;;.3;;;;
Elymus hispidus;unknown;.55;;1;BIOPOP April 2005;.8;;.3;;;;
Elymus pycnanthus;unknown;.45;;1;BIOPOP April 2005;.6;;.3;;;;
Elymus repens;unknown;1.2;;1;BIOPOP April 2005;1.2;;;;;;Jäger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Kritischer Band
Elymus repens;unknown;1.5;;1;BIOPOP April 2005;1.5;;;;;;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Empetrum nigrum;actual measurement (following LEDA data standards);.076;8;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.15;.081;.02;.076;;(automatically preaggregated values) ;
Empetrum nigrum;unknown;.3;;1;BIOPOP April 2005;.45;;.15;;;;Jäger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Kritischer Band
Empetrum nigrum s. hermaphroditum;unknown;.325;;1;BIOPOP April 2005;.5;;.15;;;;
Epilobium adenocaulon;unknown;.9;;1;BIOPOP April 2005;1.5;;.3;;;;
Epilobium adenocaulon;unknown;.75;;1;BIOPOP April 2005;;.75;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Epilobium alpestre;unknown;.6;;1;BIOPOP April 2005;1;;.2;;;;
Epilobium alsinifolium;unknown;.2;;1;BIOPOP April 2005;.3;;.1;;;;
Epilobium anagallidifolium;actual measurement (following LEDA data standards);.065;3;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.07;.067;.065;.065;;(automatically preaggregated values) ;
Epilobium anagallidifolium;unknown;.095;;1;BIOPOP April 2005;.15;;.04;;;;
Epilobium angustifolium;actual measurement (following LEDA data standards);1.03;;1;BIOPOP April 2005;1.2;;.86;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Epilobium angustifolium;unknown;2;;1;BIOPOP April 2005;;2;;;;;Broderick, D.H. (1990): The biology of Canadian weeds. 93. Epilobium angustifolium L. (Onagraceae).
Epilobium angustifolium;unknown;1.565;;1;BIOPOP April 2005;3;;.13;;;;Myerscough, P. J. (1980): Biological flora of the British Isles: Epilobium angustifolium L.
Epilobium angustifolium;unknown;.5;;1;BIOPOP April 2005;;;.5;;;Value: small;Myerscough, P. J. (1980): Biological flora of the British Isles: Epilobium angustifolium L.
Epilobium angustifolium;unknown;.75;;1;BIOPOP April 2005;;.75;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Epilobium angustifolium;unknown;.9;;1;BIOPOP April 2005;1.2;;.6;;;;
Epilobium angustifolium;actual measurement (following LEDA data standards);1.18;;1;BIOPOP April 2005;1.36;;1;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Epilobium collinum;unknown;.25;;1;BIOPOP April 2005;.4;;.1;;;;
