The following table was created as response to the SQL query
SELECT sbs_sbsnumber "SBS number", sbs_sbsname "SBS name", m_methodname "general method", dia_name "diaspore type", diglv_genname "gen. diaspore type", ref_refname "reference", seslv_name "seed structure", seglv_name "gen. seed structure", mdu_ishooked "seed structure hooked", mdu_valid "valid", or_origrefname "original reference", mdu_comment "general comment" FROM (SELECT mdu_m.mdu_ishooked, sbs.sbs_sbsnumber, sbs.sbs_sbsname, mdu_m.m_methodname, mdu_m.dia_name, mdu_m.diglv_genname, mdu_m.ref_refname, mdu_m.seslv_name, mdu_m.seglv_name, mdu_m.mdu_valid, mdu_m.or_origrefname, mdu_m.mdu_comment, mdu_m.mdu_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT mdu_dialv.mdu_sbsnumber, mdu_dialv.mdu_ishooked, m.m_methodname, mdu_dialv.dia_name, mdu_dialv.diglv_genname, mdu_dialv.ref_refname, mdu_dialv.seslv_name, mdu_dialv.seglv_name, mdu_dialv.mdu_valid, mdu_dialv.or_origrefname, mdu_dialv.mdu_comment FROM (SELECT mdu_diglv.mdu_sbsnumber, mdu_diglv.mdu_ishooked, mdu_diglv.mdu_methodid, dialv.dia_name, mdu_diglv.diglv_genname, mdu_diglv.ref_refname, mdu_diglv.seslv_name, mdu_diglv.seglv_name, mdu_diglv.mdu_valid, mdu_diglv.or_origrefname, mdu_diglv.mdu_comment FROM (SELECT r_mdu.mdu_sbsnumber, r_mdu.mdu_ishooked, r_mdu.mdu_methodid, r_mdu.mdu_diasporemorphid, diglv.diglv_genname, r_mdu.ref_refname, r_mdu.seslv_name, r_mdu.seglv_name, r_mdu.mdu_valid, r_mdu.or_origrefname, r_mdu.mdu_comment FROM (SELECT mdu_seslv.mdu_sbsnumber, mdu_seslv.mdu_ishooked, mdu_seslv.mdu_methodid, mdu_seslv.mdu_diasporemorphid, mdu_seslv.mdu_gendiamorphid, r.ref_refname, mdu_seslv.seslv_name, mdu_seslv.seglv_name, mdu_seslv.mdu_valid, mdu_seslv.or_origrefname, mdu_seslv.mdu_comment FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT mdu_seglv.mdu_sbsnumber, mdu_seglv.mdu_ishooked, mdu_seglv.mdu_methodid, mdu_seglv.mdu_diasporemorphid, mdu_seglv.mdu_gendiamorphid, mdu_seglv.mdu_referenceid, seslv.seslv_name, mdu_seglv.seglv_name, mdu_seglv.mdu_valid, mdu_seglv.or_origrefname, mdu_seglv.mdu_comment FROM (SELECT mdu_orf.mdu_sbsnumber, mdu_orf.mdu_ishooked, mdu_orf.mdu_methodid, mdu_orf.mdu_diasporemorphid, mdu_orf.mdu_gendiamorphid, mdu_orf.mdu_referenceid, mdu_orf.mdu_seedstructureid, seglv.seglv_name, mdu_orf.mdu_valid, mdu_orf.or_origrefname, mdu_orf.mdu_comment FROM (SELECT mdu.mdu_sbsnumber, mdu.mdu_ishooked, mdu.mdu_methodid, mdu.mdu_diasporemorphid, mdu.mdu_gendiamorphid, mdu.mdu_referenceid, mdu.mdu_seedstructureid, mdu.mdu_genseedstructureid, mdu.mdu_valid, orf.or_origrefname, mdu.mdu_comment FROM (SELECT sbsnumber AS mdu_sbsnumber, ishooked AS mdu_ishooked, methodid AS mdu_methodid, diasporemorphologyid AS mdu_diasporemorphid, gendiasporemorphologyid AS mdu_gendiamorphid, referenceid AS mdu_referenceid, seedstructureid AS mdu_seedstructureid, genseedstructureid AS mdu_genseedstructureid, valid AS mdu_valid, origreferenceid AS mdu_origreferenceid, p_comment AS mdu_comment FROM (SELECT sbsnumber, taxonid, referenceid, origreferenceid, batchid, methodid, p_comment, seedstructureid, seedstructureid - MOD(seedstructureid,10) AS genseedstructureid, ishooked as ishookedid,
CASE ishooked WHEN 0 THEN 'not hooked' WHEN 1 THEN 'hooked' ELSE 'unknown' END AS ishooked, diasporemorphologyid, diasporemorphologyid - MOD(diasporemorphologyid,10) AS gendiasporemorphologyid, 
created_when, updated_when, valid, validsince, validuntil, ledaid, morphologyofdispersalunitid FROM MORPHOLOGYOFDISPERSALUNIT NATURAL JOIN TAXONTOSBSASSIGNMENT WHERE valid IN (-1, 0))) mdu FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON mdu.mdu_origreferenceid = orf.or_origrefid) mdu_orf FULL JOIN (SELECT seedstructureid AS seglv_id, genseedstructurename AS seglv_name FROM (select a.seedstructureid, b.seedstructurecode as genseedstructurecode, b.seedstructurename as genseedstructurename from seedstructure_lv a join seedstructure_lv b on b.seedstructureid = a.seedstructureid - MOD(a.seedstructureid,10)
)) seglv ON mdu_orf.mdu_genseedstructureid = seglv.seglv_id) mdu_seglv FULL JOIN (SELECT seedstructureid AS seslv_id, seedstructurename AS seslv_name FROM (select seedstructureid, seedstructurecode, seedstructurename from seedstructure_lv)) seslv ON mdu_seglv.mdu_seedstructureid = seslv.seslv_id) mdu_seslv ON r.ref_referenceid = mdu_seslv.mdu_referenceid) r_mdu LEFT JOIN (SELECT diasporemorphologyid AS diglv_genid, diasporemorphologyname AS diglv_genname FROM (select diasporemorphologyid, diasporemorphologycode, diasporemorphologyname from diasporemorphology_lv)) diglv ON r_mdu.mdu_gendiamorphid = diglv.diglv_genid) mdu_diglv LEFT JOIN (SELECT diasporemorphologyid AS dia_id, diasporemorphologyname AS dia_name FROM (select diasporemorphologyid, diasporemorphologycode, diasporemorphologyname from diasporemorphology_lv)) dialv ON mdu_diglv.mdu_diasporemorphid = dialv.dia_id) mdu_dialv LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON mdu_dialv.mdu_methodid = m.m_methodid) mdu_m ON sbs.sbs_sbsnumber = mdu_m.mdu_sbsnumber)
on Mon Jul 14 15:48:35 CEST 2008 .

SBS number;SBS name;general method;diaspore type;gen. diaspore type;reference;seed structure;gen. seed structure;seed structure hooked;valid;original reference;general comment
9640;Silybum marianum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
9613;Pulicaria dysenterica;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
7940;Lactuca virosa;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
7875;Inula helenium;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
7415;Lactuca saligna;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
7409;Inula ensifolia;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
7298;Leontodon autumnalis;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
7147;Galinsoga parviflora;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
7093;Hieracium umbellatum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
7007;Hypochaeris glabra;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
9608;Tussilago farfara;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
8386;Hypochaeris maculata;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
10384;Pulicaria vulgaris;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
10168;Xanthium strumarium;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
10121;Senecio viscosus;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
5896;Cirsium palustre;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
5194;Conyza canadensis;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
5024;Cirsium arvense;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
4249;Centaurea rhenana;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
1087;Scandix pecten-veneris;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
1554;Torilis nodosa;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
1552;Torilis japonica;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
44220;Hieracium laevigatum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
44041;Typha latifolia;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
44027;Typha angustifolia;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
43702;Hordeum jubatum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
43550;Melica uniflora;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
43540;Lolium perenne;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
43483;Tragus racemosus;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
4230;Crepis biennis;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
4198;Ambrosia artemisiifolia;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
3991;Calendula officinalis;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
3990;Bidens tripartita;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
3754;Centaurea nigra;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
3710;Crepis vesicaria;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
3677;Calendula arvensis;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
3597;Centaurea scabiosa;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
3429;Erigeron acer;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
3260;Cnicus benedictus;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
3132;Centaurea cyanus;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
3084;Crepis tectorum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
2905;Cirsium canum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
2883;Centaurea phrygia;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40103;Festuca rubra;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
42564;Trisetum flavescens;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
43022;Koeleria glauca;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
42956;Stipa capillata;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
42844;Lolium remotum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
42479;Melica ciliata;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
42453;Koeleria pyramidata;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
42447;Hordeum murinum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
42340;Poa bulbosa;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
42222;Echinochloa crus-galli;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
41814;Festuca heterophylla;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
41702;Corynephorus canescens;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
41688;Bromus tectorum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
41635;Alopecurus geniculatus;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
41629;Aira praecox;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
43217;Nardus stricta;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
43206;Melica nutans;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
43200;Lolium temulentum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
43196;Lolium multiflorum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
42798;Vulpia myuros;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
42790;Vulpia bromoides;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
42760;Stipa pennata;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
42653;Melica transsilvanica;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
41363;Gaudinia fragilis;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
41343;Festuca pratensis;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
41222;Cynosurus echinatus;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
41907;Anthoxanthum odoratum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
37560;Eriophorum vaginatum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
37555;Eriophorum latifolium;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
37550;Eriophorum angustifolium;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
37486;Scirpus lacustris;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
37404;Carex flava;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
37242;Carex ovalis;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
37224;Carex muricata;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
37185;Carex vulpina;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
38017;Carex arenaria;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
37678;Carex sylvatica;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
32596;Salix caprea;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
41199;Calamagrostis epigejos;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
41179;Brachypodium sylvaticum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
41177;Brachypodium pinnatum s. pinnatum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
41151;Avena sativa;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
41138;Alopecurus myosuroides;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40952;Bromus ramosus;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40951;Bromus racemosus;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40923;Avenula pubescens;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40921;Avenula pratensis;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40884;Apera spica-venti;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40866;Aira caryophyllea;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40814;Glyceria fluitans;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40761;Festuca gigantea;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40620;Bromus inermis;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40610;Bromus secalinus;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40609;Bromus arvensis;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40551;Anthoxanthum aristatum;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40425;Avena fatua;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40414;Arrhenatherum elatius;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40391;Alopecurus pratensis;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
40373;Bromus sterilis;categorized from original source;generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Elongated appendages;Elongated appendages;unknown;0;;null
