The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", m_methodname "general method", aflv_name "age of first flowering", aof_valid "valid", ref_refname "reference", aof_comment "general comment", aof_minyears "Minumum years", aof_maxyears "Maximum years", or_origrefname "original reference" FROM (SELECT aflv.aflv_name, sbs_aof.sbs_sbsnumber, sbs_aof.sbs_sbsname, sbs_aof.m_methodname, sbs_aof.aof_valid, sbs_aof.ref_refname, sbs_aof.aof_comment, sbs_aof.aof_minyears, sbs_aof.aof_maxyears, sbs_aof.or_origrefname, sbs_aof.aof_sbsnumber FROM (SELECT ageoffirstfloweringtypeid AS aflv_id, ageoffirstfloweringtypename AS aflv_name FROM (SELECT ageoffirstfloweringtypeid, ageoffirstfloweringtypename from ageoffirstfloweringtype_lv)) aflv JOIN (SELECT aof_m.aof_categoryid, sbs.sbs_sbsnumber, sbs.sbs_sbsname, aof_m.m_methodname, aof_m.aof_valid, aof_m.ref_refname, aof_m.aof_comment, aof_m.aof_minyears, aof_m.aof_maxyears, aof_m.or_origrefname, aof_m.aof_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_aof.aof_categoryid, r_aof.aof_sbsnumber, m.m_methodname, r_aof.aof_valid, r_aof.ref_refname, r_aof.aof_comment, r_aof.aof_minyears, r_aof.aof_maxyears, r_aof.or_origrefname FROM (SELECT aof_orf.aof_categoryid, aof_orf.aof_sbsnumber, aof_orf.aof_methodid, aof_orf.aof_valid, r.ref_refname, aof_orf.aof_comment, aof_orf.aof_minyears, aof_orf.aof_maxyears, aof_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT aof.aof_categoryid, aof.aof_sbsnumber, aof.aof_methodid, aof.aof_valid, aof.aof_referenceid, aof.aof_comment, aof.aof_minyears, aof.aof_maxyears, orf.or_origrefname FROM (SELECT ageoffirstfloweringtypeid AS aof_categoryid, sbsnumber AS aof_sbsnumber, methodid AS aof_methodid, valid AS aof_valid, referenceid AS aof_referenceid, p_comment AS aof_comment, minvalue AS aof_minyears, maxvalue AS aof_maxyears, origreferenceid AS aof_origreferenceid FROM (SELECT sbsnumber, taxonid, ageoffirstfloweringtypeid, collectiondate, p_comment, methodid, referenceid, origreferenceid, habitattypeid, georefid, valid, ledaid, batchid, ageoffirstfloweringid, minvalue, maxvalue FROM ageoffirstflowering natural join taxontosbsassignment WHERE valid IN (-2, 1, 2, -8, 2, -8))) aof FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON aof.aof_origreferenceid = orf.or_origrefid) aof_orf ON r.ref_referenceid = aof_orf.aof_referenceid) r_aof LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_aof.aof_methodid = m.m_methodid) aof_m ON sbs.sbs_sbsnumber = aof_m.aof_sbsnumber) sbs_aof ON aflv.aflv_id = sbs_aof.aof_categoryid) ORDER BY sbs_sbsname
on Mon Oct 27 17:54:56 CET 2008 .

SBS name;SBS number;general method;age of first flowering;valid;reference;general comment;Minumum years;Maximum years;original reference
Elymus repens;40238;unknown;Between 1 and 5 years;1;BIOPOP April 2005;;1;2;Korsmo, E. (1930): Unkräuter im Ackerbau der Neuzeit: Biologische und praktische Untersuchungen
Emex spinosa;27700;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Empetrum nigrum;19449;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Epilobium adenocaulon;26066;unknown;Within 1 year;1;BIOPOP April 2005;;0;1;Myerscough, P. J. (1966): Comparative biology of Tussilago farfara L. , Chamaenerion angustifolium (L. ) Scop. , Epilobium montanum L.  and Epilobium adenocaulon Hausskn.  1.  General biology and germination.
Epilobium alpestre;26069;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;often flowering in the first year.;;;Tutin, T.G.(1964): Flora Europaea []
Epilobium alsinifolium;26071;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;often flowering in the first year.;;;Tutin, T.G.(1964): Flora Europaea []
Epilobium alsinifolium;26071;observation (like obvious taxonomical traits);Within 1 year;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): non-British data;;;Kytovuors, I.(1972): no title given, publication in Annales Botanici Fennici issue: 9 pages: 163-203 [9]
Epilobium anagallidifolium;26073;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;often flowering in the first year.;;;Tutin, T.G.(1964): Flora Europaea []
Epilobium anagallidifolium;26073;observation (like obvious taxonomical traits);Within 1 year;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): non-British data;;;Kytovuors, I.(1972): no title given, publication in Annales Botanici Fennici issue: 9 pages: 163-203 [9]
Epilobium angustifolium;26075;observation (like obvious taxonomical traits);Within 1 year;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): spring germinating plants, non-British recording;;;van Andel, J. (unknown e-mail address)
Epilobium angustifolium;26075;unknown;Within 1 year;1;BIOPOP April 2005;;0;1;Myerscough, P. J. (1980): iological flora of the British Isles: Epilobium angustifolium L. [68]
Epilobium ciliatum;26518;observation (like obvious taxonomical traits);Within 1 year;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Myerscough, P. J. (1966): Comparative biology of Tussilago farfara L., Chamaenerion angustifolium (L.) Scop., Epilobium Montanum L. and Epilobium adenocaulon Hausskn.
Epilobium ciliatum;26518;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;often flowering in the first year.;;;Tutin, T.G.(1964): Flora Europaea []
Epilobium collinum;26520;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;often flowering in the first year.;;;Tutin, T.G.(1964): Flora Europaea []
Epilobium dodonaei;26526;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;often flowering in the first year.;;;Tutin, T.G.(1964): Flora Europaea []
Epilobium hirsutum;26536;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Epilobium inornatum;26538;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;often flowering in the first year.;;;Tutin, T.G.(1964): Flora Europaea []
Epilobium lanceolatum;26540;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;often flowering in the first year.;;;Tutin, T.G.(1964): Flora Europaea []
Epilobium montanum;26496;observation (like obvious taxonomical traits);Within 1 year;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Myerscough, P. J. (1966): Comparative biology of Tussilago farfara L., Chamaenerion angustifolium (L.) Scop., Epilobium Montanum L. and Epilobium adenocaulon Hausskn.
Epilobium montanum;26496;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;often flowering in the first year.;;;Tutin, T.G.(1964): Flora Europaea []
Epilobium montanum;26496;unknown;Within 1 year;1;BIOPOP April 2005;;0;1;Myerscough, P. J. (1966): Comparative biology of Tussilago farfara L. , Chamaenerion angustifolium (L. ) Scop. , Epilobium montanum L.  and Epilobium adenocaulon Hausskn.  1.  General biology and germination.
Epilobium montanum;26496;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Braun, A.(1864): Flora der province brandenburg []
Epilobium montanum;26496;unknown;Within 1 year;1;BIOPOP April 2005;;0;1;Gluch, W. (1970): Wuchsformenstudien an zentraleuropäischen Fabaceen IV.  Die Stauden der Gattungen Lathyrus und Vicia.
Epilobium nutans;26501;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;often flowering in the first year.;;;Tutin, T.G.(1964): Flora Europaea []
Epilobium obscurum;26502;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;often flowering in the first year.;;;Tutin, T.G.(1964): Flora Europaea []
Epilobium palustre;26504;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;often flowering in the first year.;;;Tutin, T.G.(1964): Flora Europaea []
Epilobium parviflorum;26505;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;often flowering in the first year.;;;Tutin, T.G.(1964): Flora Europaea []
Epilobium roseum;26508;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;often flowering in the first year.;;;Tutin, T.G.(1964): Flora Europaea []
Epilobium tetragonum;26469;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;often flowering in the first year.;;;Tutin, T.G.(1964): Flora Europaea []
Epipactis helleborine;39609;observation (like obvious taxonomical traits);Over 5 years;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Salisbury, E.(1952): Downs and Dunes, G Bell and Sons Ltd, London []
Epipactis helleborine;39609;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Epipactis leptochila;39614;observation (like obvious taxonomical traits);Between 1 and 5 years;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Stewart, A.[1st editor](1994): Scarce Plants in Britain 1994 Joint Nature Conservation Committee, Peterborough []
Epipactis palustris;39624;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Epipogium aphyllum;39630;observation (like obvious taxonomical traits);Over 5 years;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Summerhayes, V. S.(1968): Wild Orchids of Britain, 2nd edition, Collins, London. []
Eragrostis cilianensis;42261;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Fitschen, J.(1993): Flora von Deutschland und angrenzender Länder. []
Eragrostis minor;41786;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Fitschen, J.(1993): Flora von Deutschland und angrenzender Länder. []
Eragrostis pilosa;40736;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Fitschen, J.(1993): Flora von Deutschland und angrenzender Länder. []
Eragrostis tef;41788;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Fitschen, J.(1993): Flora von Deutschland und angrenzender Länder. []
Eranthis hyemalis;27181;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Erica cinerea;19545;observation (like obvious taxonomical traits);Between 1 and 5 years;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Grime, J. P.(1988): Comparative Plant Ecology, Unwin Hyman, London []
Erica erigena;19546;observation (like obvious taxonomical traits);Between 1 and 5 years;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Foss, P. J. (unknown e-mail address)
Erica tetralix;19489;observation (like obvious taxonomical traits);Between 1 and 5 years;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Bannister, P.(1966): no title given, publication in Journal of Ecology issue: 54 pages: 795-813 [54]
Erica tetralix;19489;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is between the first and the fifth year.;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Erigeron acer;3429;unknown;Between 1 and 5 years;1;BIOPOP April 2005;;1;2;Kutschera, L. (1992): Wurzelatlas mitteleuropäischer Grünlandpflanzen. Band 2. Pteridophyta und Dicotenydonae (Magnolipsida). Teil 1
Erigeron annuus;5070;unknown;Between 1 and 5 years;1;BIOPOP April 2005;Value: Prim;1;2;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Erigeron annuus;5070;unknown;Within 1 year;1;BIOPOP April 2005;Value: Sec;0;1;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Eriophorum angustifolium;37550;observation (like obvious taxonomical traits);Between 1 and 5 years;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Phillips, M. E.(1954): no title given, publication in Journal of Ecology issue: 42 pages: 612-622 [42]
Eriophorum angustifolium;37550;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Eriophorum vaginatum;37560;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Erodium ciconium;22676;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erodium ciconium;22676;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erodium cicutarium;22675;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erodium cicutarium;22675;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Braun, A.(1864): Flora der province brandenburg []
Erodium cicutarium;22675;unknown;Within 1 year;1;BIOPOP April 2005;Value: Prim;0;1;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Erodium cicutarium;22675;unknown;Between 1 and 5 years;1;BIOPOP April 2005;Value: Sec;1;2;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Erodium cicutarium;22675;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erodium danicum;22578;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erodium lebelii;50011;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erodium malacoides;22678;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erodium malacoides;22678;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erodium moschatum;22680;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erodium moschatum;22680;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erophila verna;14075;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erophila verna;14075;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Braun, A.(1864): Flora der province brandenburg []
Erophila verna s. praecox;14082;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erophila verna s. praecox;14082;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erophila verna s. spathulata;14494;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erophila verna s. spathulata;14494;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erucastrum gallicum;13240;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Erucastrum gallicum;13240;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Erucastrum nasturtiifolium;12804;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Erucastrum nasturtiifolium;12804;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Eryngium campestre;1324;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is between the first and fifth year;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Erysimum cheiranthoides;14097;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Braun, A.(1864): Flora der province brandenburg []
Erysimum cheiranthoides;14097;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Erysimum cheiranthoides;14097;unknown;Within 1 year;1;BIOPOP April 2005;;0;1;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Erysimum cuspidatum;14502;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erysimum cuspidatum;14502;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erysimum odoratum;13255;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Erysimum repandum;14514;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Euclidium syriacum;13571;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Eupatorium cannabinum;3585;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is in the first year;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Euphorbia amygdaloides;20294;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is in the third year;;;Rauh, W.(1937): Die Bildung von Hypocotyl- und Wurzelsprossen und ihre Bedeutung für  die Wuchsformen der Pflanzen [Issue:4 Vol.24]
Euphorbia amygdaloides;20294;unknown;Between 1 and 5 years;1;BIOPOP April 2005;;2;6;Meusel, H. (1970): Wuchsformenreihen mediterran-mitteleuropäischer Angiospermen-Taxa.
Euphorbia chamaesyce;20257;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Euphorbia cyparissias;20238;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is in the second year.;;;Korsmo, E.(1930): Unkräuter im Ackerbau der Neuzeit [580]
Euphorbia cyparissias;20238;unknown;Between 1 and 5 years;1;BIOPOP April 2005;;1;2;Korsmo, E. (1930): Unkräuter im Ackerbau der Neuzeit: Biologische und praktische Untersuchungen
Euphorbia dulcis;20247;observation (like obvious taxonomical traits);Over 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is between 7th and 8th year. In experiment the first flowering was already in the third year.;;;Rauh, W.(1937): Die Bildung von Hypocotyl- und Wurzelsprossen und ihre Bedeutung für  die Wuchsformen der Pflanzen [Issue:4 Vol.24]
Euphorbia esula;20227;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Euphorbia exigua;20206;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Euphorbia exigua;20206;unknown;Within 1 year;1;BIOPOP April 2005;;0;1;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Euphorbia falcata;20208;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Euphorbia helioscopia;20189;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
