The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", dtlv_name "dispersal type", dvlv_name "dispersal vector", dvglv_genname "gen. dispersal vector", dglv_genname "gen. dispersal type", byc_avgsingle "BYC avg. float. cap. (sv) [%]" FROM (SELECT ROUND(AVG(byc_singlevalue),2) AS byc_avgsingle, sbs_sbsnumber, sbs_sbsname, dtlv_name, dvlv_name, dvglv_genname, dglv_genname FROM (SELECT case when byc_median is not null then byc_median when byc_mean is not null then byc_mean when byc_minimum is not null and byc_maximum is not null then (byc_minimum + byc_maximum) / 2 when byc_minimum is not null then byc_minimum when byc_maximum is not null then byc_maximum else null end AS byc_singlevalue, sbs_sbsnumber, sbs_sbsname, dtlv_name, dvlv_name, dvglv_genname, dglv_genname FROM (SELECT sbs_dis.sbs_sbsnumber, sbs_dis.sbs_sbsname, sbs_dis.dtlv_name, sbs_dis.dvlv_name, sbs_dis.dvglv_genname, sbs_dis.dglv_genname, byc.byc_median, byc.byc_mean, byc.byc_minimum, byc.byc_maximum FROM (SELECT sbs.sbs_sbsnumber, sbs.sbs_sbsname, dis_dtlv.dtlv_name, dis_dtlv.dvlv_name, dis_dtlv.dvglv_genname, dis_dtlv.dglv_genname FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs LEFT JOIN (SELECT dis_dvlv.dis_sbsnumber, dtlv.dtlv_name, dis_dvlv.dvlv_name, dis_dvlv.dvglv_genname, dis_dvlv.dglv_genname FROM (SELECT dis_dvglv.dis_sbsnumber, dis_dvglv.dis_dtid, dvlv.dvlv_name, dis_dvglv.dvglv_genname, dis_dvglv.dglv_genname FROM (SELECT dis_dtglv.dis_sbsnumber, dis_dtglv.dis_dtid, dis_dtglv.dis_dvid, dvglv.dvglv_genname, dis_dtglv.dglv_genname FROM (SELECT dis.dis_sbsnumber, dis.dis_dtid, dis.dis_dvid, dis.dis_gendvid, dtglv.dglv_genname FROM (SELECT sbsnumber AS dis_sbsnumber, dispersaltypeid AS dis_dtid, dispersalvectorid AS dis_dvid, gendispvectorid AS dis_gendvid, gendisptypeid AS dis_gendtid FROM (SELECT sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, p_comment, dispersalunitid, dispersaltypeid, dispersalvectorid, dispersalunitid - mod(dispersalunitid,10) as gendispunitid, dispersaltypeid - mod(dispersaltypeid,10) as gendisptypeid, dispersalvectorid - mod(dispersalvectorid,100) as gendispvectorid, created_when, updated_when, valid, validsince, validuntil, ledaid, dispersalid FROM dispersal NATURAL JOIN taxontosbsassignment)) dis FULL JOIN (SELECT dispersaltypeid AS dglv_genid, dispersaltypename AS dglv_genname FROM (select dispersaltypeid, dispersaltypename, generaliseddispersaltype, explanation, case when lddid = 0 then 'no' when lddid = 1 then 'yes' else 'unknown' end as dispersaltypelddpotential from dispersaltype_lv)) dtglv ON dis.dis_gendtid = dtglv.dglv_genid) dis_dtglv FULL JOIN (SELECT dispersalvectorid AS dvglv_genid, dispersalvectorname AS dvglv_genname FROM (select dispersalvectorid, dispersalvectorname, longdistancedispersal from dispersalvector_lv)) dvglv ON dis_dtglv.dis_gendvid = dvglv.dvglv_genid) dis_dvglv FULL JOIN (SELECT dispersalvectorid AS dvlv_id, dispersalvectorname AS dvlv_name FROM (select dispersalvectorid, dispersalvectorname, case when longdistancedispersal = 1 then 'yes' when longdistancedispersal = 0 then 'no' else 'unknown' end as longdistancedispersal from dispersalvector_lv)) dvlv ON dis_dvglv.dis_dvid = dvlv.dvlv_id) dis_dvlv FULL JOIN (SELECT dispersaltypeid AS dtlv_id, dispersaltypename AS dtlv_name FROM (select dispersaltypeid, dispersaltypename, generaliseddispersaltype, explanation, case when lddid = 0 then 'no' when lddid = 1 then 'yes' else 'unknown' end as dispersaltypelddpotential from dispersaltype_lv)) dtlv ON dis_dvlv.dis_dtid = dtlv.dtlv_id) dis_dtlv ON sbs.sbs_sbsnumber = dis_dtlv.dis_sbsnumber) sbs_dis LEFT JOIN (SELECT sbsnumber AS byc_sbsnumber, median AS byc_median, mean AS byc_mean, minimum AS byc_minimum, maximum AS byc_maximum, valid AS byc_valid FROM (select SBSNUMBER, DISPERSALMEASUREMENTID, TIMESTEPMINUTES, TIMESTEPINTERVAL || ' - ' || TIMESTEPNAME AS TIMESTEPCODEANDNAME, N, REPLICATES, MEAN, MEDIAN, MINIMUM, MAXIMUM, STDDEVIATION, STDERROR, P_COMMENT, CREATED_WHEN, UPDATED_WHEN, BATCHID, UPDATEDWHO, REFERENCEID, METHODID, TAXONID, ORIGREFERENCEID, HABITATTYPEID, GEOREFID, VALID, VALIDSINCE, VALIDUNTIL, LEDAID, DISPERSALID, DISPERSALPOTENTIAL, ORIGINALDISPERSALVECTORVALUE, DISPERSALVECTORID, dispersalvectorid - mod(dispersalvectorid,100) as gendispvectorid, DISPERSALTYPEID, dispersaltypeid - mod(dispersaltypeid,10) as gendisptypeid,
DISPERSALUNITID, dispersalunitid - mod(dispersalunitid,10) as gendispersalunitid from timestep_lv natural right join (SELECT SBSNUMBER, DISPERSALMEASUREMENTID, TIMESTEPINMINUTES as timestepminutes, N, REPLICATES, MEAN, MEDIAN, MINIMUM, MAXIMUM, STDDEVIATION, STDERROR, P_COMMENT, CREATED_WHEN, UPDATED_WHEN, BATCHID, UPDATEDWHO, REFERENCEID, METHODID, TAXONID, ORIGREFERENCEID, HABITATTYPEID, GEOREFID, VALID, VALIDSINCE, VALIDUNTIL, LEDAID, DISPERSALID, DISPERSALPOTENTIAL, ORIGINALDISPERSALVECTORVALUE, DISPERSALVECTORID, ORIGINALDISPERSALTYPEVALUE, DISPERSALTYPEID, DISPERSALUNITID FROM buoyancy_dispersal natural join taxontosbsassignment)
 WHERE valid IN (-2, 1, 2, -8, 2, -8))) byc ON sbs_dis.sbs_sbsnumber = byc.byc_sbsnumber)) GROUP BY sbs_sbsnumber, sbs_sbsname, dtlv_name, dvlv_name, dvglv_genname, dglv_genname) ORDER BY sbs_sbsname
on Fri Feb 05 10:05:29 CET 2010 .

SBS name;SBS number;dispersal type;dispersal vector;gen. dispersal vector;gen. dispersal type;BYC avg. float. cap. (sv) [%]
Consolida regalis;27229;speirochor;;;hemerochor;
Convallaria majalis;39099;autochor;;;autochor;50
Convallaria majalis;39099;endozoochor;bird;bird;zoochor;50
Convallaria majalis;39099;endozoochor;;;zoochor;50
Convallaria majalis;39099;nautochor;water;water;nautochor;50
Convallaria majalis;39099;zoochor;bird;bird;zoochor;50
Convallaria majalis;39099;zoochor;;;zoochor;50
Convolvulus althaeoides;18964;;;;;
Convolvulus althaeoides subsp. tenuissimus;18968;;;;;
Convolvulus arvensis;18911;agochor;;;hemerochor;
Convolvulus arvensis;18911;autochor;;;autochor;
Convolvulus arvensis;18911;ballochor;;;autochor;
Convolvulus arvensis;18911;dysochor;bird;bird;zoochor;
Convolvulus arvensis;18911;endozoochor;   cattle;domestic animal;zoochor;
Convolvulus arvensis;18911;endozoochor;   horse;domestic animal;zoochor;
Convolvulus arvensis;18911;endozoochor;   pig;domestic animal;zoochor;
Convolvulus arvensis;18911;endozoochor;   sheep;domestic animal;zoochor;
Convolvulus arvensis;18911;endozoochor;;;zoochor;
Convolvulus arvensis;18911;epizoochor;   clothes and footwear;man;zoochor;
Convolvulus arvensis;18911;ombrochor;   erosion material;man;other;
Convolvulus arvensis;18911;ombrochor;;;other;
Convolvulus arvensis;18911;other;;;other;
Convolvulus arvensis;18911;speirochor;;;hemerochor;
Convolvulus betonicifolius;18914;;;;;
Convolvulus cantabrica;18929;;;;;
Convolvulus lanuginosus;18938;;;;;
Convolvulus lineatus;18941;ombrochor;;;other;
Convolvulus tricolor;18886;;;;;
Conyza albida;59673;;;;;
Conyza bonariensis;2911;meteorochor;;;meteorochor;
Conyza canadensis;5194;agochor;   car or other vehicle;man;hemerochor;
Conyza canadensis;5194;agochor;   hay making machinery;man;hemerochor;
Conyza canadensis;5194;agochor;;;hemerochor;
Conyza canadensis;5194;dysochor;bird;bird;zoochor;
Conyza canadensis;5194;epizoochor;   deer;big game;zoochor;
Conyza canadensis;5194;epizoochor;   pig;domestic animal;zoochor;
Conyza canadensis;5194;epizoochor;   wild boar;big game;zoochor;
Conyza canadensis;5194;epizoochor;;;zoochor;
Conyza canadensis;5194;meteorochor;;;meteorochor;
Conyza canadensis;5194;nautochor;;;nautochor;
Conyza canadensis;5194;ombrochor;   erosion material;man;other;
Conyza sumatrana;60991;agochor;   car or other vehicle;man;hemerochor;
Conyza sumatrana;60991;meteorochor;;;meteorochor;
Corallorhiza trifida;39481;meteorochor;;;meteorochor;
Corallorhiza trifida;39481;nautochor;;;nautochor;
Coriandrum sativum;2310;epizoochor;;;zoochor;
Coriandrum sativum;2310;ethelochor;;;hemerochor;
Coriandrum sativum;2310;hemerochor;;;hemerochor;
Coriaria myrtifolia;18444;;;;;
Corispermum algidum;17897;;;;;
Corispermum canescens;17901;;;;;
Corispermum declinatum;17903;;;;;
Corispermum filifolium;17904;;;;;
Corispermum hybridum;17906;;;;;
Corispermum hyssopifolium;17907;chamaechor;;;other;
Corispermum intermedium;17909;agochor;   car or other vehicle;man;hemerochor;25
Corispermum intermedium;17909;chamaechor;;;other;25
Corispermum intermedium;17909;nautochor;   standing fresh water;water;nautochor;25
Corispermum marschallii;17784;chamaechor;;;other;
Corispermum nitidulum;17785;;;;;
Corispermum nitidum;17786;;;;;
Corispermum orientale;17787;;;;;
Corispermum sibiricum;66308;;;;;
Cornus alba;18424;endozoochor;bird;bird;zoochor;
Cornus alba;18424;endozoochor;;;zoochor;
Cornus mas;18428;dysochor;bird;bird;zoochor;
Cornus mas;18428;endozoochor;   dormouse;small mammal in the wild;zoochor;
Cornus mas;18428;endozoochor;   marten;big mammal in the wild;zoochor;
Cornus mas;18428;endozoochor;   turtles;reptiles;zoochor;
Cornus mas;18428;endozoochor;bird;bird;zoochor;
Cornus mas;18428;endozoochor;;;zoochor;
Cornus mas;18428;ethelochor;;;hemerochor;
Cornus sanguinea;18429;dysochor;bird;bird;zoochor;
Cornus sanguinea;18429;endozoochor;bird;bird;zoochor;
Cornus sanguinea;18429;endozoochor;;;zoochor;
Cornus sanguinea;18429;zoochor;;;zoochor;
Cornus sericea;18436;endozoochor;bird;bird;zoochor;
Cornus sericea;18436;endozoochor;;;zoochor;
Cornus suecica;18440;endozoochor;bird;bird;zoochor;50
Cornus suecica;18440;nautochor;water;water;nautochor;50
Cornus suecica;18440;nautochor;;;nautochor;50
Coronilla coronata;21803;boleochor;;;autochor;88.64
Coronilla coronata;21803;meteorochor;;;meteorochor;88.64
Coronilla coronata;21803;nautochor;   shaken fresh water;water;nautochor;88.64
Coronilla coronata;21803;zoochor;;;zoochor;88.64
Coronilla elegans;21804;;;;;
Coronilla emerus;21806;boleochor;;;autochor;
Coronilla emerus;21806;ethelochor;;;hemerochor;
Coronilla emerus;21806;meteorochor;;;meteorochor;
Coronilla emerus;21806;zoochor;;;zoochor;
Coronilla minima;20460;;;;;
Coronilla repanda;21346;;;;;
Coronilla scorpioides;22332;speirochor;;;hemerochor;
Coronilla vaginalis;21349;meteorochor;;;meteorochor;
Coronilla vaginalis;21349;other;;;other;
Coronilla valentina;21808;;;;;
Coronilla varia;21810;ethelochor;   commerce;man;hemerochor;
Coronopus didymus;13200;agochor;   car or other vehicle;man;hemerochor;96.43
Coronopus didymus;13200;chamaechor;;;other;96.43
Coronopus didymus;13200;endozoochor;;;zoochor;96.43
Coronopus didymus;13200;epizoochor;   cattle;domestic animal;zoochor;96.43
Coronopus didymus;13200;epizoochor;   sheep;domestic animal;zoochor;96.43
Coronopus didymus;13200;nautochor;   shaken fresh water;water;nautochor;96.43
Coronopus squamatus;14154;agochor;   car or other vehicle;man;hemerochor;72.33
Coronopus squamatus;14154;chamaechor;;;other;72.33
Coronopus squamatus;14154;epizoochor;   cattle;domestic animal;zoochor;72.33
Coronopus squamatus;14154;epizoochor;   sheep;domestic animal;zoochor;72.33
Coronopus squamatus;14154;epizoochor;;;zoochor;72.33
Coronopus squamatus;14154;nautochor;   shaken fresh water;water;nautochor;72.33
Coronopus squamatus;14154;speirochor;   seed contamination;man;hemerochor;72.33
Corrigiola litoralis;15658;agochor;   car or other vehicle;man;hemerochor;98.64
Corrigiola litoralis;15658;autochor;;;autochor;98.64
Corrigiola litoralis;15658;nautochor;   shaken fresh water;water;nautochor;98.64
Corrigiola litoralis;15658;nautochor;;;nautochor;98.64
Corrigiola litoralis;15658;ombrochor;;;other;98.64
Corrigiola litoralis subsp. telephiifolia;15711;;;;;
Cortaderia selloana;40648;;;;;
Cortusa matthioli;28841;boleochor;;;autochor;
Corydalis capnoides;25396;;;;;
Corydalis cava;25389;ballochor;;;autochor;
Corydalis cava;25389;dysochor;   ant;invertebrates;zoochor;
Corydalis cava;25389;endozoochor;;;zoochor;
Corydalis cava;25389;ethelochor;   commerce;man;hemerochor;
Corydalis gotlandica;45580;;;;;
Corydalis impatiens;66351;;;;;
Corydalis intermedia;25403;ballochor;;;autochor;
Corydalis intermedia;25403;dysochor;   ant;invertebrates;zoochor;
Corydalis nobilis;25490;;;;;
Corydalis pumila;25496;dysochor;   ant;invertebrates;zoochor;
Corydalis solida;25469;ballochor;;;autochor;91.33
Corydalis solida;25469;dysochor;   ant;invertebrates;zoochor;91.33
Corydalis solida;25469;endozoochor;;;zoochor;91.33
Corydalis solida;25469;epizoochor;   cattle;domestic animal;zoochor;91.33
Corydalis solida;25469;epizoochor;   sheep;domestic animal;zoochor;91.33
Corydalis solida;25469;ethelochor;   commerce;man;hemerochor;91.33
Corydalis solida;25469;nautochor;   shaken fresh water;water;nautochor;91.33
Corylus avellana;18083;agochor;man;man;hemerochor;50
Corylus avellana;18083;autochor;;;autochor;50
Corylus avellana;18083;dysochor;   dormouse;small mammal in the wild;zoochor;50
Corylus avellana;18083;dysochor;   mouse;small mammal in the wild;zoochor;50
Corylus avellana;18083;dysochor;   squirrel;small mammal in the wild;zoochor;50
Corylus avellana;18083;dysochor;bird;bird;zoochor;50
Corylus avellana;18083;dysochor;;;zoochor;50
Corylus avellana;18083;endozoochor;;;zoochor;50
Corylus avellana;18083;ethelochor;;;hemerochor;50
Corylus avellana;18083;hemerochor;;;hemerochor;50
Corylus avellana;18083;nautochor;water;water;nautochor;50
Corylus avellana;18083;nautochor;;;nautochor;50
Corylus avellana;18083;zoochor;;;zoochor;50
Corylus colurna;18084;;;;;
Corylus heterophylla;66409;;;;;
Corylus mandshurica;66412;;;;;
Corylus maxima;18085;;;;;
Corynephorus canescens;41702;epizoochor;   cattle;domestic animal;zoochor;94.21
Corynephorus canescens;41702;epizoochor;   sheep;domestic animal;zoochor;94.21
Corynephorus canescens;41702;epizoochor;;;zoochor;94.21
Corynephorus canescens;41702;nautochor;   shaken fresh water;water;nautochor;94.21
Corynephorus divaricatus;40649;;;;;
Cotinus coggygria;944;;;;;
Cotoneaster acuminatus;31211;endozoochor;;;zoochor;
Cotoneaster acutifolius;62078;;;;;
Cotoneaster alaunicus;30370;;;;;
Cotoneaster bullatus;62079;;;;;
Cotoneaster dammeri;62083;;;;;
Cotoneaster divaricatus;62077;;;;;
Cotoneaster franchetii;61001;;;;;
Cotoneaster hjelmqvistii;62076;;;;;
Cotoneaster horizontalis;29735;endozoochor;bird;bird;zoochor;
Cotoneaster horizontalis;29735;endozoochor;;;zoochor;
Cotoneaster integerrimus;30932;dysochor;bird;bird;zoochor;
Cotoneaster integerrimus;30932;endozoochor;bird;bird;zoochor;
Cotoneaster integerrimus;30932;endozoochor;;;zoochor;
Cotoneaster lucidus;61002;;;;;
Cotoneaster matrensis;30371;;;;;
Cotoneaster microphyllus;29402;;;;;
Cotoneaster multiflora;30660;;;;;
Cotoneaster nebrodensis;29737;dysochor;bird;bird;zoochor;
Cotoneaster nebrodensis;29737;endozoochor;bird;bird;zoochor;
Cotoneaster nebrodensis;29737;endozoochor;;;zoochor;
Cotoneaster niger;31213;;;;;
Cotoneaster praecox;62084;;;;;
Cotoneaster rotundifolius;62086;;;;;
Cotoneaster salicifolius;62087;endozoochor;bird;bird;zoochor;
Cotoneaster salicifolius;62087;ethelochor;   commerce;man;hemerochor;
Cotoneaster scandinavicus;62088;;;;;
Cotoneaster simonsii;29738;endozoochor;;;zoochor;
Cotoneaster suecicus;62089;;;;;
Cotula anthemoides;2912;;;;;
Cotula australis;6113;;;;;
Cotula coronopifolia;5009;epizoochor;bird;bird;zoochor;14.93
Cotula coronopifolia;5009;nautochor;   shaken fresh water;water;nautochor;14.93
Cousinia tenella;66719;;;;;
Crambe hispanica;14158;;;;;
Crambe maritima;14463;epizoochor;;;zoochor;50
Crambe maritima;14463;nautochor;water;water;nautochor;50
Crambe maritima;14463;nautochor;;;nautochor;50
Crambe orientalis;14160;;;;;
Crambe tataria;14161;;;;;
Crassula aquatica;18112;nautochor;;;nautochor;
Crassula decumbens;46100;;;;;
Crassula helmsii;46103;;;;;
Crassula tillaea;18116;endozoochor;   rabbit;big mammal in the wild;zoochor;
Crassula tillaea;18116;endozoochor;domestic animal;domestic animal;zoochor;
Crassula tillaea;18116;meteorochor;;;meteorochor;
Crassula tillaea;18116;nautochor;;;nautochor;
Crassula vaillantii;18119;;;;;
Crataegus alemanniensis;66760;;;;;
Crataegus almaatensis;66761;;;;;
Crataegus altaica;29404;;;;;
Crataegus ambigua;30935;;;;;
Crataegus azarolus;30097;;;;;
Crataegus calycina;29408;endozoochor;;;zoochor;50
Crataegus calycina;29408;nautochor;water;water;nautochor;50
Crataegus calycina subsp. curvisepala;31214;;;;;
Crataegus chlorosarca;66771;;;;;
Crataegus coccinea;30936;;;;;
Crataegus crus-galli;30375;endozoochor;bird;bird;zoochor;
Crataegus crus-galli;30375;endozoochor;;;zoochor;
Crataegus intricata;30667;;;;;
Crataegus laevigata;29749;dysochor;   mouse;small mammal in the wild;zoochor;
Crataegus laevigata;29749;dysochor;   squirrel;small mammal in the wild;zoochor;
Crataegus laevigata;29749;dysochor;bird;bird;zoochor;
Crataegus laevigata;29749;endozoochor;   fox;big mammal in the wild;zoochor;
Crataegus laevigata;29749;endozoochor;   goat;domestic animal;zoochor;
Crataegus laevigata;29749;endozoochor;   hare;big mammal in the wild;zoochor;
Crataegus laevigata;29749;endozoochor;bird;bird;zoochor;
Crataegus laevigata;29749;endozoochor;;;zoochor;
Crataegus laevigata;29749;ethelochor;;;hemerochor;
Crataegus laevigata;29749;nautochor;;;nautochor;
Crataegus macrocarpa;29414;;;;;
Crataegus mollis;31220;;;;;
Crataegus monogyna;29980;dysochor;   mouse;small mammal in the wild;zoochor;
Crataegus monogyna;29980;dysochor;   squirrel;small mammal in the wild;zoochor;
Crataegus monogyna;29980;dysochor;bird;bird;zoochor;
Crataegus monogyna;29980;endozoochor;   fox;big mammal in the wild;zoochor;
Crataegus monogyna;29980;endozoochor;   goat;domestic animal;zoochor;
Crataegus monogyna;29980;endozoochor;   hare;big mammal in the wild;zoochor;
Crataegus monogyna;29980;endozoochor;   mammal;big mammal in the wild;zoochor;
Crataegus monogyna;29980;endozoochor;bird;bird;zoochor;
Crataegus monogyna;29980;endozoochor;;;zoochor;
Crataegus monogyna;29980;ethelochor;;;hemerochor;
Crataegus monogyna;29980;nautochor;;;nautochor;
Crataegus monogyna s. monogyna;29751;;;;;
Crataegus nigra;31227;;;;;
Crataegus orientalis;66790;;;;;
Crataegus palmstruchii;66792;;;;;
Crataegus pedicellata;61004;;;;;
Crataegus pentagyna;29758;;;;;
Crataegus plagiosepala;29948;;;;;
Crataegus sanguinea;29760;;;;;
Crataegus submollis;31231;;;;;
Crataegus ucrainica;29424;;;;;
Crepis alpestris;5873;meteorochor;;;meteorochor;
Crepis alpestris;5873;other;;;other;
Crepis aurea;2623;dysochor;bird;bird;zoochor;
Crepis aurea;2623;meteorochor;;;meteorochor;
Crepis bellidifolia;4479;;;;;
Crepis biennis;4230;agochor;   car or other vehicle;man;hemerochor;50
Crepis biennis;4230;agochor;;;hemerochor;50
Crepis biennis;4230;dysochor;   ant;invertebrates;zoochor;50
Crepis biennis;4230;dysochor;bird;bird;zoochor;50
Crepis biennis;4230;epizoochor;;;zoochor;50
Crepis biennis;4230;meteorochor;;;meteorochor;50
Crepis biennis;4230;nautochor;water;water;nautochor;50
Crepis biennis;4230;speirochor;;;hemerochor;50
Crepis bocconi;2916;agochor;;;hemerochor;
Crepis bocconi;2916;ethelochor;;;hemerochor;
Crepis bocconi;2916;meteorochor;;;meteorochor;
Crepis bursifolia;5365;;;;;
Crepis capillaris;3071;dysochor;   ant;invertebrates;zoochor;50
Crepis capillaris;3071;endozoochor;   rabbit;big mammal in the wild;zoochor;50
Crepis capillaris;3071;epizoochor;;;zoochor;50
Crepis capillaris;3071;meteorochor;;;meteorochor;50
Crepis capillaris;3071;nautochor;water;water;nautochor;50
Crepis capillaris;3071;ombrochor;   erosion material;man;other;50
Crepis capillaris;3071;speirochor;;;hemerochor;50
Crepis conyzifolia;6115;dysochor;bird;bird;zoochor;84.21
Crepis conyzifolia;6115;meteorochor;;;meteorochor;84.21
Crepis conyzifolia;6115;nautochor;   shaken fresh water;water;nautochor;84.21
Crepis dioscoridis;3264;;;;;
Crepis foetida;3405;dysochor;   ant;invertebrates;zoochor;
Crepis foetida;3405;epizoochor;;;zoochor;
Crepis foetida s. foetida;4820;;;;;
Crepis foetida subsp. rhoeadifolia;6212;;;;;
Crepis jacquinii;2920;meteorochor;;;meteorochor;
Crepis lampsanoides;5767;;;;;
Crepis leontodontoides;4447;;;;;
Crepis mollis;5768;dysochor;   ant;invertebrates;zoochor;92.05
Crepis mollis;5768;epizoochor;;;zoochor;92.05
Crepis mollis;5768;meteorochor;;;meteorochor;92.05
Crepis mollis;5768;nautochor;   shaken fresh water;water;nautochor;92.05
Crepis multicaulis;4968;;;;;
Crepis neglecta;2632;;;;;
Crepis nicaeensis;5197;dysochor;   ant;invertebrates;zoochor;
Crepis nicaeensis;5197;epizoochor;;;zoochor;
Crepis nudicaulis;62092;;;;;
Crepis paludosa;5882;dysochor;   ant;invertebrates;zoochor;34
Crepis paludosa;5882;dysochor;bird;bird;zoochor;34
Crepis paludosa;5882;epizoochor;;;zoochor;34
Crepis paludosa;5882;meteorochor;;;meteorochor;34
Crepis paludosa;5882;nautochor;   shaken fresh water;water;nautochor;34
Crepis paludosa;5882;nautochor;   standing fresh water;water;nautochor;34
Crepis paludosa;5882;nautochor;water;water;nautochor;34
Crepis paludosa;5882;nautochor;;;nautochor;34
Crepis pannonica;3409;;;;;
Crepis praemorsa;2633;dysochor;   ant;invertebrates;zoochor;86.07
Crepis praemorsa;2633;epizoochor;;;zoochor;86.07
Crepis praemorsa;2633;meteorochor;;;meteorochor;86.07
Crepis praemorsa;2633;nautochor;   shaken fresh water;water;nautochor;86.07
Crepis praemorsa s. corymbosa;5875;;;;;
Crepis praemorsa s. praemorsa;4339;;;;;
Crepis pulchra;5675;;;;;
Crepis pyrenaica;4706;agochor;;;hemerochor;85
Crepis pyrenaica;4706;meteorochor;;;meteorochor;85
Crepis pyrenaica;4706;nautochor;   shaken fresh water;water;nautochor;85
Crepis rhaetica;3412;meteorochor;;;meteorochor;
Crepis rubra;3747;;;;;
Crepis sancta;4235;;;;;
Crepis setosa;4060;dysochor;   ant;invertebrates;zoochor;
Crepis setosa;4060;epizoochor;;;zoochor;
Crepis setosa;4060;meteorochor;;;meteorochor;
Crepis setosa;4060;speirochor;   seed contamination;man;hemerochor;
Crepis sibirica;3414;;;;;
Crepis tectorum;3084;agochor;;;hemerochor;
Crepis tectorum;3084;dysochor;   ant;invertebrates;zoochor;
Crepis tectorum;3084;epizoochor;;;zoochor;
Crepis tectorum;3084;meteorochor;;;meteorochor;
Crepis terglouensis;4938;dysochor;bird;bird;zoochor;
Crepis vesicaria;3710;agochor;   car or other vehicle;man;hemerochor;
Crepis vesicaria;3710;dysochor;   ant;invertebrates;zoochor;
Crepis vesicaria;3710;epizoochor;;;zoochor;
Crepis vesicaria;3710;meteorochor;;;meteorochor;
Crepis vesicaria s. haenseleri;5286;;;;;
Crepis vesicaria subsp. vesicaria;3415;;;;;
Crepis zacintha;3419;;;;;
Cressa cretica;18907;;;;;
Crithmum maritimum;1350;nautochor;;;nautochor;
Crocus albiflorus;36369;agochor;   hay transport;man;hemerochor;
Crocus albiflorus;36369;agochor;   manure;man;hemerochor;
Crocus albiflorus;36369;blastochor;;;autochor;
Crocus albiflorus;36369;dysochor;   ant;invertebrates;zoochor;
Crocus albiflorus;36369;endozoochor;   cattle;domestic animal;zoochor;
Crocus angustifolius;36370;;;;;
Crocus biflorus;36380;;;;;
Crocus chrysanthus;36411;dysochor;   ant;invertebrates;zoochor;
Crocus chrysanthus;36411;ethelochor;   commerce;man;hemerochor;
Crocus corsicus;36414;;;;;
Crocus flavus;36422;dysochor;   ant;invertebrates;zoochor;
Crocus longiflorus;36446;;;;;
Crocus medius;36451;;;;;
Crocus minimus;36400;;;;;
Crocus nudiflorus;36462;;;;;
Crocus pulchellus;36477;;;;;
Crocus sativus;36483;;;;;
Crocus serotinus;36485;;;;;
Crocus sieberi;36499;;;;;
Crocus speciosus;36508;;;;;
Crocus tommasinianus;36513;dysochor;   ant;invertebrates;zoochor;
Crocus vernus;36523;dysochor;   ant;invertebrates;zoochor;
Crocus vernus s. vernus;36529;;;;;
Crocus versicolor;36547;;;;;
Crucianella angustifolia;31953;;;;;
Crucianella latifolia;32332;;;;;
Crucianella maritima;31840;;;;;
Cruciata glabra;31855;agochor;;;hemerochor;
Cruciata glabra;31855;endozoochor;;;zoochor;
Cruciata glabra;31855;epizoochor;;;zoochor;
Cruciata laevipes;32133;epizoochor;;;zoochor;
Cruciata laevipes;32133;ethelochor;   commerce;man;hemerochor;
Cruciata pedemontana;32338;agochor;;;hemerochor;
Cruciata pedemontana;32338;endozoochor;   rabbit;big mammal in the wild;zoochor;
Crupina crupinastrum;5356;;;;;
Crupina vulgaris;3885;;;;;
Crypsis aculeata;42191;;;;;
Crypsis alopecuroides;41706;;;;;
Crypsis schoenoides;41707;;;;;
Cryptogramma crispa;188;;;;;
Cryptomeria japonica;853;;;;;
Cucubalus baccifer;16443;endozoochor;bird;bird;zoochor;
Cucubalus baccifer;16443;endozoochor;;;zoochor;
Cucubalus baccifer;16443;ethelochor;   commerce;man;hemerochor;
Cucubalus baccifer;16443;nautochor;;;nautochor;
Cucumis melo;18480;endozoochor;domestic animal;domestic animal;zoochor;
Cucumis melo;18480;nautochor;;;nautochor;
Cucumis myriocarpus;18494;;;;;
Cucumis sativus;18481;ethelochor;;;hemerochor;
Cucumis sativus;18481;nautochor;;;nautochor;
Cucurbita ficifolia;18489;;;;;
Cucurbita maxima;18482;;;;;
Cucurbita moschata;18462;;;;;
Cucurbita pepo;18484;nautochor;;;nautochor;
Culcita macrocarpa;196;;;;;
Cuminum cyminum;2312;;;;;
Cupressus lusitanica;731;;;;;
Cupressus macrocarpa;733;;;;;
Cupressus sempervirens;734;;;;;
Cuscuta approximata;18872;;;;;
Cuscuta australis;18858;;;;;
Cuscuta campestris;18871;nautochor;;;nautochor;
Cuscuta epilinum;18845;nautochor;   shaken fresh water;water;nautochor;81.38
Cuscuta epilinum;18845;nautochor;water;water;nautochor;81.38
Cuscuta epilinum;18845;nautochor;;;nautochor;81.38
Cuscuta epilinum;18845;speirochor;   seed contamination;man;hemerochor;81.38
Cuscuta epilinum;18845;speirochor;;;hemerochor;81.38
Cuscuta epithymum;18799;ballochor;;;autochor;
Cuscuta epithymum;18799;boleochor;;;autochor;
