The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", m_methodname "general method", dia_name "diaspore type", tv_singlevalue "single value [m/s]", tv_n "sample size", tvlv_name "TV specific method", sclv_name "measured with structures", tv_valid "valid", ref_refname "reference", tv_mean "mean TV [m/s]", tv_maximum "maximum TV [m/s]", tv_minimum "minimum TV [m/s]", tv_median "median TV [m/s]", tv_replicates "number of replicates", tv_comment "general comment", or_origrefname "original reference" FROM (SELECT case when tv_median is not null then tv_median when tv_mean is not null then tv_mean when tv_minimum is not null and tv_maximum is not null then (tv_minimum + tv_maximum) / 2 when tv_minimum is not null then tv_minimum when tv_maximum is not null then tv_maximum else null end AS tv_singlevalue, sbs_sbsnumber, sbs_sbsname, m_methodname, dia_name, tv_median, tv_mean, tv_minimum, tv_maximum, tv_n, tvlv_name, sclv_name, tv_valid, ref_refname, tv_replicates, tv_comment, or_origrefname, tv_sbsnumber FROM (SELECT sbs.sbs_sbsnumber, sbs.sbs_sbsname, m_tv.m_methodname, m_tv.dia_name, m_tv.tv_median, m_tv.tv_mean, m_tv.tv_minimum, m_tv.tv_maximum, m_tv.tv_n, m_tv.tvlv_name, m_tv.sclv_name, m_tv.tv_valid, m_tv.ref_refname, m_tv.tv_replicates, m_tv.tv_comment, m_tv.or_origrefname, m_tv.tv_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT tv_dialv.tv_sbsnumber, m.m_methodname, tv_dialv.dia_name, tv_dialv.tv_median, tv_dialv.tv_mean, tv_dialv.tv_minimum, tv_dialv.tv_maximum, tv_dialv.tv_n, tv_dialv.tvlv_name, tv_dialv.sclv_name, tv_dialv.tv_valid, tv_dialv.ref_refname, tv_dialv.tv_replicates, tv_dialv.tv_comment, tv_dialv.or_origrefname FROM (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m JOIN (SELECT tv_tvlv.tv_sbsnumber, tv_tvlv.tv_methodid, dialv.dia_name, tv_tvlv.tv_median, tv_tvlv.tv_mean, tv_tvlv.tv_minimum, tv_tvlv.tv_maximum, tv_tvlv.tv_n, tv_tvlv.tvlv_name, tv_tvlv.sclv_name, tv_tvlv.tv_valid, tv_tvlv.ref_refname, tv_tvlv.tv_replicates, tv_tvlv.tv_comment, tv_tvlv.or_origrefname FROM (SELECT tv_sclv.tv_sbsnumber, tv_sclv.tv_methodid, tv_sclv.tv_diasporeid, tv_sclv.tv_median, tv_sclv.tv_mean, tv_sclv.tv_minimum, tv_sclv.tv_maximum, tv_sclv.tv_n, tvlv.tvlv_name, tv_sclv.sclv_name, tv_sclv.tv_valid, tv_sclv.ref_refname, tv_sclv.tv_replicates, tv_sclv.tv_comment, tv_sclv.or_origrefname FROM (SELECT r_tv.tv_sbsnumber, r_tv.tv_methodid, r_tv.tv_diasporeid, r_tv.tv_median, r_tv.tv_mean, r_tv.tv_minimum, r_tv.tv_maximum, r_tv.tv_n, r_tv.tv_specificmethodid, sclv.sclv_name, r_tv.tv_valid, r_tv.ref_refname, r_tv.tv_replicates, r_tv.tv_comment, r_tv.or_origrefname FROM (SELECT tv_orf.tv_sbsnumber, tv_orf.tv_methodid, tv_orf.tv_diasporeid, tv_orf.tv_median, tv_orf.tv_mean, tv_orf.tv_minimum, tv_orf.tv_maximum, tv_orf.tv_n, tv_orf.tv_specificmethodid, tv_orf.tv_structureid, tv_orf.tv_valid, r.ref_refname, tv_orf.tv_replicates, tv_orf.tv_comment, tv_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT tv.tv_sbsnumber, tv.tv_methodid, tv.tv_diasporeid, tv.tv_median, tv.tv_mean, tv.tv_minimum, tv.tv_maximum, tv.tv_n, tv.tv_specificmethodid, tv.tv_structureid, tv.tv_valid, tv.tv_referenceid, tv.tv_replicates, tv.tv_comment, orf.or_origrefname FROM (SELECT sbsnumber AS tv_sbsnumber, methodid AS tv_methodid, diasporemorphologyid AS tv_diasporeid, median AS tv_median, mean AS tv_mean, minimum AS tv_minimum, maximum AS tv_maximum, n AS tv_n, velocitymethodid AS tv_specificmethodid, structureid AS tv_structureid, valid AS tv_valid, referenceid AS tv_referenceid, replicates AS tv_replicates, p_comment AS tv_comment, origreferenceid AS tv_origreferenceid FROM (SELECT sbsnumber, taxonid, mean, median, minimum, maximum, stderror, stddeviation, n, replicates, created_when, updated_when, collectiondate, p_comment, methodid, referenceid, origreferenceid, habitattypeid, georefid, valid, validsince, validuntil, ledaid, batchid, velocitymethodid, structureid, diasporemorphologyid, terminalvelocityid FROM terminalvelocity natural join taxontosbsassignment WHERE valid IN (-2, 1, -1, 0, 2, -8, -4, -3, 2, -8))) tv FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON tv.tv_origreferenceid = orf.or_origrefid) tv_orf ON r.ref_referenceid = tv_orf.tv_referenceid) r_tv LEFT JOIN (SELECT structureid AS sclv_id, structurename AS sclv_name FROM (SELECT structureid, structurename from structure_lv)) sclv ON r_tv.tv_structureid = sclv.sclv_id) tv_sclv LEFT JOIN (SELECT velocitymethodid AS tvlv_id, velocitymethodname AS tvlv_name FROM (SELECT velocitymethodid, velocitymethodname from velocitymethod_lv)) tvlv ON tv_sclv.tv_specificmethodid = tvlv.tvlv_id) tv_tvlv LEFT JOIN (SELECT diasporemorphologyid AS dia_id, diasporemorphologyname AS dia_name FROM (select diasporemorphologyid, diasporemorphologycode, diasporemorphologyname from diasporemorphology_lv)) dialv ON tv_tvlv.tv_diasporeid = dialv.dia_id) tv_dialv ON m.m_methodid = tv_dialv.tv_methodid) m_tv ON sbs.sbs_sbsnumber = m_tv.tv_sbsnumber)) ORDER BY sbs_sbsname
on Fri Mar 14 16:39:55 CET 2008 .

SBS name;SBS number;general method;diaspore type;single value [m/s];sample size;TV specific method;measured with structures;valid;reference;mean TV [m/s];maximum TV [m/s];minimum TV [m/s];median TV [m/s];number of replicates;general comment;original reference
Bryonia cretica s. dioica;18478;actual measurement (following LEDA data standards);germinule;4.24;1;actual fall rate in still air;no ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;4.24;;;;;cleaned seed;
Bryonia cretica s. dioica;18478;actual measurement (following LEDA data standards);germinule;4.17;1;actual fall rate in still air;no ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;4.17;;;;;cleaned seed;
Bryonia cretica s. dioica;18478;actual measurement (following LEDA data standards);germinule;4.24;1;actual fall rate in still air;no ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;4.24;;;;;cleaned seed;
Buddleja davidii;15414;actual measurement;one-seeded generative dispersule;1.4;10;actual fall rate in still air;yes ;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;1.4;;;;;;
Buglossoides arvensis;12169;actual measurement;one-seeded generative dispersule;4.63;5;actual fall rate in still air;no ;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;4.63;4.72;4.55;;;;
Buglossoides purpurocaerulea;12486;actual measurement;one-seeded generative dispersule;4.2;10;actual fall rate in still air;no ;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;4.2;4.63;3.85;;;;
Buphthalmum salicifolium;5238;unknown;generative dispersule;2.23;1;unknown;yes ;1;Source data from University of Regensburg, Chair of Botany, DE (Tackenberg) (oliver.tackenberg@biologie.uni-regensburg.de);2.23;;;;1;Tackenberg (2001);
Buphthalmum salicifolium;5238;unknown;generative dispersule;1.66;1;unknown;yes ;1;Source data from University of Regensburg, Chair of Botany, DE (Tackenberg) (oliver.tackenberg@biologie.uni-regensburg.de);1.66;;;;1;Tackenberg (2001);
Buphthalmum salicifolium;5238;actual measurement;one-seeded generative dispersule;1.72;10;actual fall rate in still air;yes ;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;1.72;1.94;1.52;;;;
Buphthalmum salicifolium;5238;actual measurement;germinule;2.41;10;actual fall rate in still air;no ;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;2.41;2.81;2.1;;;;
Bupleurum falcatum;1909;unknown;generative dispersule;3.7;1;unknown;yes ;1;Source data from University of Regensburg, Chair of Botany, DE (Tackenberg) (oliver.tackenberg@biologie.uni-regensburg.de);3.7;;;;1;Maurer & Stöcklin (unpublished);
Bupleurum falcatum;1909;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.32;10;actual fall rate in still air;yes ;-2;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.25;3.52;2.81;3.32;;Preaggregated data obtained from single record.;
Bupleurum falcatum;1909;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.47;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.47;;;;;;
Bupleurum falcatum;1909;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.25;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.25;;;;;;
Bupleurum falcatum;1909;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.38;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.38;;;;;;
Bupleurum falcatum;1909;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.21;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.21;;;;;;
Bupleurum falcatum;1909;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.38;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.38;;;;;;
Bupleurum falcatum;1909;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.38;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.38;;;;;;
Bupleurum falcatum;1909;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.01;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.01;;;;;;
Bupleurum falcatum;1909;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.09;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.09;;;;;;
Bupleurum falcatum;1909;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.52;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.52;;;;;;
Bupleurum falcatum;1909;actual measurement (following LEDA data standards);one-seeded generative dispersule;2.81;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;2.81;;;;;;
Bupleurum ranunculoides;1426;actual measurement;one-seeded generative dispersule;2.7;10;actual fall rate in still air;no ;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;2.7;3.38;2.17;;;;
Bupleurum tenuissimum;1364;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.29;9;actual fall rate in still air;unknown;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;3.28;3.42;3.16;3.29;;Preaggregated data obtained from single record.;
Bupleurum tenuissimum;1364;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.29;1;actual fall rate in still air;unknown;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;3.29;;;;;;
Bupleurum tenuissimum;1364;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.42;1;actual fall rate in still air;unknown;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;3.42;;;;;;
Bupleurum tenuissimum;1364;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.16;1;actual fall rate in still air;unknown;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;3.16;;;;;;
Bupleurum tenuissimum;1364;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.21;1;actual fall rate in still air;unknown;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;3.21;;;;;;
Bupleurum tenuissimum;1364;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.29;1;actual fall rate in still air;unknown;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;3.29;;;;;;
Bupleurum tenuissimum;1364;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.29;1;actual fall rate in still air;unknown;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;3.29;;;;;;
Bupleurum tenuissimum;1364;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.21;1;actual fall rate in still air;unknown;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;3.21;;;;;;
Bupleurum tenuissimum;1364;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.25;1;actual fall rate in still air;unknown;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;3.25;;;;;;
Bupleurum tenuissimum;1364;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.42;1;actual fall rate in still air;unknown;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;3.42;;;;;;
Butomus umbellatus;35620;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.82;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.82;;;;;;
Butomus umbellatus;35620;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.92;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.92;;;;;;
Butomus umbellatus;35620;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.87;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.87;;;;;;
Butomus umbellatus;35620;actual measurement (following LEDA data standards);one-seeded generative dispersule;2.19;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;2.19;;;;;;
Butomus umbellatus;35620;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.97;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.97;;;;;;
Butomus umbellatus;35620;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.96;10;actual fall rate in still air;yes ;-2;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.97;2.19;1.82;1.96;;Preaggregated data obtained from single record.;
Butomus umbellatus;35620;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.89;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.89;;;;;;
Butomus umbellatus;35620;actual measurement (following LEDA data standards);one-seeded generative dispersule;2;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;2;;;;;;
Butomus umbellatus;35620;actual measurement (following LEDA data standards);one-seeded generative dispersule;2.03;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;2.03;;;;;;
Butomus umbellatus;35620;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.94;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;1.94;;;;;;
Butomus umbellatus;35620;actual measurement (following LEDA data standards);one-seeded generative dispersule;2.05;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;2.05;;;;;;
Cakile maritima;14226;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.85;10;actual fall rate in still air;yes ;-2;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.8;4.17;3.52;3.85;;Preaggregated data obtained from single record.fruit segments;
Cakile maritima;14226;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.97;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.97;;;;;fruit segments;
Cakile maritima;14226;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.91;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.91;;;;;fruit segments;
Cakile maritima;14226;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.97;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.97;;;;;fruit segments;
Cakile maritima;14226;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.57;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.57;;;;;fruit segments;
Cakile maritima;14226;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.79;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.79;;;;;fruit segments;
Cakile maritima;14226;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.52;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.52;;;;;fruit segments;
Cakile maritima;14226;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.52;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.52;;;;;fruit segments;
Cakile maritima;14226;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.68;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.68;;;;;fruit segments;
Cakile maritima;14226;actual measurement (following LEDA data standards);one-seeded generative dispersule;3.91;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;3.91;;;;;fruit segments;
Cakile maritima;14226;actual measurement (following LEDA data standards);one-seeded generative dispersule;4.17;1;actual fall rate in still air;yes ;-4;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;4.17;;;;;fruit segments;
Calamagrostis arundinacea;40633;actual measurement (following LEDA data standards);one-seeded generative dispersule;.92;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.92;;;;;;
Calamagrostis arundinacea;40633;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.58;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1.58;;;;;;
Calamagrostis arundinacea;40633;actual measurement (following LEDA data standards);one-seeded generative dispersule;.9;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.9;;;;;;
Calamagrostis arundinacea;40633;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.08;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1.08;;;;;;
Calamagrostis arundinacea;40633;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.64;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1.64;;;;;;
Calamagrostis arundinacea;40633;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.05;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1.05;;;;;;
Calamagrostis arundinacea;40633;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.04;10;actual fall rate in still air;yes ;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1.15;1.64;.84;1.04;;Preaggregated data obtained from single record.;
Calamagrostis arundinacea;40633;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.03;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1.03;;;;;;
Calamagrostis arundinacea;40633;actual measurement (following LEDA data standards);one-seeded generative dispersule;1.55;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1.55;;;;;;
Calamagrostis arundinacea;40633;actual measurement (following LEDA data standards);one-seeded generative dispersule;.9;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.9;;;;;;
Calamagrostis arundinacea;40633;actual measurement (following LEDA data standards);one-seeded generative dispersule;.84;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.84;;;;;;
Calamagrostis canescens;40960;actual measurement (following LEDA data standards);one-seeded generative dispersule;.73;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.73;;;;;;
Calamagrostis canescens;40960;actual measurement (following LEDA data standards);one-seeded generative dispersule;.77;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.77;;;;;;
Calamagrostis canescens;40960;actual measurement (following LEDA data standards);one-seeded generative dispersule;.77;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.77;;;;;;
Calamagrostis canescens;40960;actual measurement (following LEDA data standards);one-seeded generative dispersule;.9;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.9;;;;;;
Calamagrostis canescens;40960;actual measurement (following LEDA data standards);one-seeded generative dispersule;.74;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.74;;;;;;
Calamagrostis canescens;40960;actual measurement (following LEDA data standards);one-seeded generative dispersule;.91;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.91;;;;;;
Calamagrostis canescens;40960;actual measurement (following LEDA data standards);one-seeded generative dispersule;.57;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.57;;;;;;
Calamagrostis canescens;40960;actual measurement (following LEDA data standards);one-seeded generative dispersule;.71;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.71;;;;;;
Calamagrostis canescens;40960;actual measurement (following LEDA data standards);one-seeded generative dispersule;.84;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.84;;;;;;
Calamagrostis canescens;40960;actual measurement (following LEDA data standards);one-seeded generative dispersule;.91;1;actual fall rate in still air;yes ;-4;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.91;;;;;;
Calamagrostis canescens;40960;actual measurement (following LEDA data standards);one-seeded generative dispersule;.77;10;actual fall rate in still air;yes ;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.79;.91;.57;.77;;Preaggregated data obtained from single record.;
Calamagrostis epigejos;41199;unknown;unknown;.17686;1;unknown;unknown;1;Source data from University of Regensburg, Chair of Botany, DE (Tackenberg) (oliver.tackenberg@biologie.uni-regensburg.de);.17686;;;;1;Tackenberg (unpublished data);
Calamagrostis pseudophragmites;40637;unknown;generative dispersule;.21;1;unknown;yes ;1;Source data from University of Regensburg, Chair of Botany, DE (Tackenberg) (oliver.tackenberg@biologie.uni-regensburg.de);.21;;;;1;Müller-Schneider (1986);
Calamagrostis stricta;40265;actual measurement (following LEDA data standards);one-seeded generative dispersule;2.49;10;actual fall rate in still air;yes ;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;2.45;2.78;2.1;2.49;;Preaggregated data obtained from single record.;
Calamagrostis stricta;40265;actual measurement (following LEDA data standards);one-seeded generative dispersule;2.78;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;2.78;;;;;;
Calamagrostis stricta;40265;actual measurement (following LEDA data standards);one-seeded generative dispersule;2.48;1;actual fall rate in still air;yes ;-4;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;2.48;;;;;;
